Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2HOR-24-AYCA-4YTCRX-The Orchard-1- TTFN,NBN New Devs,$570.86
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",NBN New Devs DFN HFC,"$1,336.17"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002640 - AYCA-5SX5PK - 2CRO-23 - 51-55 Burraneer Bay Road, Burraneer",NBN New Devs,"$2,680.36"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002383-AYCA-5DHKDD -2CRO-22-36 Rawson Parade, Caringbah South ",NBN New Devs,"$2,696.66"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003285-AYCA-5NKJJY-2CRO-24-25 Judd Street, Cronulla Transformation",NBN New Devs Transformation,"$1,165.80"
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,2UND-60-Node Split,NBN Node Split DFN HFC,$313.20
Global Elite technologies   ,Inv 277,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R000629-AYCA-4OCM1V-2UND-60-260-264 Wardell Rd,NBN New Devs,$174.00
Nintey Nine Group,Inv 699,01/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,$720.00
Sirius Teck Australia,Inv 01,03/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R000605 - AYCA-4XR9F8 -2ROU-02 -  320 Annangrove Rd, Rouse Hill",NBN New Devs,$200.00
Sirius Teck Australia,Inv 01,03/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001939 - AYCA-56YY5F - 2CRR-65 - 120-122 Hume Highway, Canley Vale ",NBN New Devs,$200.00
Sirius Teck Australia,Inv 01,03/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003294-AYCA-2HEWWI-2CAM-02-337-339 Beamish Street, Campsie",NBN New Devs,$200.00
Sirius Teck Australia,Inv 01,03/05/2019,30/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2PKE-01-AYCA-4DQVDO-BRANCH HOUSE -1-FTTN,NBN New Devs,$200.00
KSJDA,Inv 19/1441,08/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2NAB-20-AYCA-5KDV96-43,45,47,49 Eastern Valley Way, Tallwood-FTTN",NBN New Devs,"$4,090.95"
Craig Comms,Inv 45810-00029,20/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002533-AYCA-2PNFXD-2ROS-66 -Corner Old South Road & Hamilton Street HFC DFN,NBN New Devs DFN HFC,"$21,047.15"
Craig Comms,Inv 45810-00033,20/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",NBN New Devs DFN HFC,"$12,049.80"
Craig Comms,Inv 45810-00030,20/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R002792-AYCA-5JQV6N 2BAN-62-265 Hume Highway, Greenacre HFC DFN-Design NDD",NBN New Devs DFN HFC,$809.40
Craig Comms,Inv 45810-00034,20/04/2019,31/05/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,$332.03
Craig Comms,Inv 45810-00039,20/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001755-AYCA-5FEXSP-2PEN-61-103-105 Metella Road, Toongabbie DFN ",NBN New Devs DFN HFC,"$3,277.00"
Craig Comms,Inv 45810-00038,20/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002226-AYCA-4PEEEK - 2RYD-63- 17-21 Ryedale Rdm West Ryde  HFC DFN,NBN New Devs DFN HFC,"$3,726.02"
Craig Comms,Inv 45810-00037,20/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002564-AYCA-512UVL-2WYO-03-Marineres Centre of Excellence - BUILD,NBN New Devs,"$6,464.57"
Craig Comms,Inv 45810-00036,20/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",NBN New Devs DFN HFC,"$11,840.84"
FibreSole,Inv 026,12/05/2019,30/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2EAS-64-AYCA-4K9T49 -PRESBYTERIAN AGED CARE - SP4 Brown Stree-HFC-DFN,NBN New Devs DFN HFC,$300.00
FibreSole,Inv 027,12/05/2019,30/06/2019,NBN Co,Minor Works Maximo,2EDG-62 Node Split,NBN Node Split DFN HFC,$477.62
FibreSole,Inv 028,12/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002021-AYCA-4IIZWC-2STL-66-28 Albany St, St Leonards DFN HFC",NBN New Devs DFN HFC,$394.19
Jemena,Inv 93039107,13/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,$405.00
Canopy Tree Experts,Inv 5028,13/05/2019,20/05/2019,NBN Co,NBN A417,"MW417R003292-9KBA-23-AYCA-5V3DPZ-TTFN-5,11,1,6,9,21,24,25,26 Winser Cres, Kambah, ACT",NBN New Devs,$200.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003051-AYCA-587BWC-2RAM-20-218-222 Railway Parade, Kogarah",NBN New Devs,$375.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,MW417R003366-AYCA-4QNRBL-2KEL-03-822 Windsor Road Rouse Hill Transformation,NBN New Devs,$165.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,MW417R000347-AYCA-397TA7-2TGL-02-6-8 Painters Lane Terrigal,NBN New Devs,$165.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001041-AYCA-4H9191-2COR-03-208-210 Princes Highway, Bulli",NBN New Devs,$165.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,"MW21728-AYCA-4HTS7R-2RIV-03-875 RICHMOND RD, MARSDEN PARK",NBN New Devs,$220.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,$220.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,MW22520-AYCA-48OYT0-2EDG-65-240 New South Head Road Edgecliff ,NBN New Devs,$220.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003288 - AYCA-5L1XWG - 2LIV-67 - 365 Hume Highway, Liverpool Transformation",NBN New Devs,$375.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2KNS-62-AYCA-5E2I7I-4-6 Grosvenor St, Kensington - 1-HFC-DFN",NBN New Devs DFN HFC,$935.00
Platinum Traffic Services,Inv 222360,09/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003287-AYCA-4KZ9TH-2HOR-62-457-459 Pacific Highway, Asquith Transformation",NBN New Devs,$220.00
Nintey Nine Group,Inv 704,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,2NSY-60 Node Split,NBN Node Split DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 704,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,2BAL-61-Node Split,NBN Node Split DFN HFC,"$2,969.40"
Nintey Nine Group,Inv 704,01/05/2019,15/05/2019,NBN Co,NBN A417,MW417R003379-AYCA-4HLUIU-2PYM-62-1454 Pacific Hwy Turramurra HFC DFN,NBN New Devs DFN HFC,"$5,830.00"
Nintey Nine Group,Inv 705,01/05/2019,15/05/2019,NBN Co,NBN A417,MW22520-AYCA-48OYT0-2EDG-65-240 New South Head Road Edgecliff ,NBN New Devs,$900.00
Nintey Nine Group,Inv 707,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2SEF-61-AYCA-4Q1RMX-Wood -1-HFC-DFN,NBN New Devs DFN HFC,"$1,260.00"
Nintey Nine Group,Inv 709,01/05/2019,15/05/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",NBN New Devs DFN HFC,"$9,161.50"
Nintey Nine Group,Inv 708,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2CAR-62- AYCA-41OT3N-Donald Court - 1-HFC-DFN,NBN New Devs DFN HFC,"$1,500.00"
Nintey Nine Group,Inv 710,01/05/2019,15/05/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",NBN New Devs DFN HFC,"$1,162.75"
Platinum Traffic Services,Inv 222290,09/05/2019,30/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$4,742.70"
Transport Rail Corp,Inv 900083263,14/05/2019,13/06/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs DFN HFC,"$2,912.00"
Burwood Council,,,,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$8,109.97"
Nintey Nine Group,Inv 706,01/05/2019,15/05/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs DFN HFC,"$1,093.37"
Nintey Nine Group,Inv 711,01/05/2019,15/05/2019,NBN Co,Minor Works Maximo,"FTTC held Order""-DPU Capacity issue - 4ASH-21-09 - LOC000053300572 -ACK Held",Held Order,"$2,051.10"
Comms Connect,Inv 11918,16/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R000606-AYCA-56PJ6I-2GRK-01-645 Pacific Hwy, Kanwal",NBN New Devs,"$1,104.81"
Platinum Traffic Services,Inv 222404,16/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003051-AYCA-587BWC-2RAM-20-218-222 Railway Parade, Kogarah",NBN New Devs,$811.48
Craig Comms,Inv 45810-00046,18/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001793-AYCA-4WB37J-2FRE-61-36 Pringle Ave, Belrose HFC DFN",NBN New Devs,"$7,834.91"
Craig Comms,Inv 45810‐00042,18/05/2019,30/06/2019,NBN Co,Minor Works Maximo,2BAL-61-Node Split,NBN Node Split DFN HFC,"$1,693.30"
Craig Comms,Inv 45810-00043,18/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002570-AYCA-4XIVYZ-HFC DFN-2UND-62-236-238 ILLAWARRA RD, MARRICKVILLE",NBN New Devs DFN HFC,"$9,926.80"
Craig Comms,Inv 45810-00044,18/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003230-AYCA-5MELWX-2BOT-62-Lot 3,4,5 & 6 Denison Street Banksmeadow HFC DFN",NBN New Devs DFN HFC,"$1,993.08"
Craig Comms,Inv 45810-00045,18/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002792-AYCA-5JQV6N 2BAN-62-265 Hume Highway, Greenacre HFC DFN-Design NDD",NBN New Devs DFN HFC,"$1,847.27"
Vac Group,Inv 67894,21/05/2019,30/06/2019,NBN Co,NBN A417,MW21699-AYCA-3E5O97-2ROU-03-Hancy - 1,NBN New Devs,"$1,975.40"
Comms Connect,Inv 11927,23/05/2019,30/06/2019,NBN Co,NBN A417,MW417R000347-AYCA-397TA7-2TGL-02-6-8 Painters Lane Terrigal,NBN New Devs,"$31,220.62"
Jemena,Inv 9309287,22/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001041-AYCA-4H9191-2COR-03-208-210 Princes Highway, Bulli",NBN New Devs,$577.50
Platinum Traffic Services,Inv 222559,23/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001041-AYCA-4H9191-2COR-03-208-210 Princes Highway, Bulli",NBN New Devs,$811.48
Platinum Traffic Services,Inv 222562,23/05/2019,30/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2CYS-03-AYCA-4S2PFJ-Kaz Tower - 1-TTFN,NBN New Devs,"$1,279.56"
Platinum Traffic Services,Inv 222564,23/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003288 - AYCA-5L1XWG - 2LIV-67 - 365 Hume Highway, Liverpool Transformation",NBN New Devs,"$1,455.90"
Platinum Traffic Services,Inv 222598,23/05/2019,30/06/2019,NBN Co,NBN A417,"MW21728-AYCA-4HTS7R-2RIV-03-875 RICHMOND RD, MARSDEN PARK",NBN New Devs,"$1,066.96"
Platinum Traffic Services,Inv 222642,23/05/2019,30/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,$675.47
GQI,Inv 1147,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003370-AYCA-5LZJ26-2BAN-70-72 Canterbury Road, Bankstown Transformation",NBN New Devs,"$1,500.00"
GQI,Inv 1147,24/05/2019,30/06/2019,NBN Co,NBN A417,"ND-NSW-2DAP-02-AYCA-5XRS1Z-7-9 Princes Highway, Dapto - 1- TTFN",NBN New Devs,"$1,500.00"
Tactix Civil,Inv 091,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002972-AYCA-5WOZHL-2PEN-66--18 Rawson Road, South Wentworthville",NBN New Devs,$943.59
Tactix Civil,Inv 092,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002435-AYCA-5BOGUB-2RED-01-11B Lachlan St, Waterloo EXT",NBN New Devs,"$7,312.75"
Tactix Civil,Inv 093,24/05/2019,30/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$9,904.54"
Tactix Civil,Inv 094,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002241-AYCA-43APKG-2HOM-20-6-14 Cosgrove Road, Strathfield",NBN New Devs,"$4,498.39"
Tactix Civil,Inv 095,24/05/2019,30/06/2019,NBN Co,NBN A417,MW21699-AYCA-3E5O97-2ROU-03-Hancy - 1,NBN New Devs,"$4,469.83"
Tactix Civil,Inv 096,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002673 - AYCA-4WQIL0 - 2PTH-05 - 13-15 Vista St, Penrith",NBN New Devs,$611.88
Tactix Civil,Inv 097,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003370-AYCA-5LZJ26-2BAN-70-72 Canterbury Road, Bankstown Transformation",NBN New Devs,"$3,906.04"
Tactix Civil,Inv 098,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003284-AYCA-5T15312-2NEW-60-293 Princes Highway, Saint Peters",NBN New Devs,"$1,115.70"
Tactix Civil,Inv 099,24/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BAN-70-AYCA-5TDQG3 -20-22 Craig Street, Punchbowl - 1-TTFN",NBN New Devs,"$4,438.30"
Tactix Civil,Inv 100,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002790-AYCA-5QBJSS-2PAR-62-7 Morton Street, Parramatta HFC DFN",NBN New Devs DFN HFC,"$1,846.55"
Tactix Civil,Inv 101,24/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002899-AYCA-2WNBI8-2PEN-64-31,33,37B Garfield-HFC DFN",NBN New Devs,"$2,424.51"
Tactix Civil,Inv 102,24/05/2019,30/06/2019,NBN Co,NBN A417,MW417R000139-AYCA-4IIZWC-2STL-60-22-28 Albany St St Leonards ,NBN New Devs,"$1,974.48"
Tactix Civil,,,,,,,,
Tactix Civil,Inv 104,24/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2MIR-25-AYCA-62WIE0-3 Actinotus Avenue, Caringbah South NSW-TTFN",NBN New Devs,"$1,738.40"
KSJDA,Inv 19/1457,22/05/2019,30/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2BYB-20-AYCA-61XX6-Non Standard Builds-Suffolk Park-Estate+TTFN,NBN New Devs,"$2,095.40"
KSJDA,Inv 19/1456,22/05/2019,30/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2BLG-20-AYCA-65UPJG-Non Standard Builds -Bellingen-Estate+TTFN,NBN New Devs,$560.00
Mega Cabling Solutions,Inv 1810,30/04/2019,31/05/2019,NBN Co,NBN A417,MW417R002789-AYCA-53VL4I-2PNN-68-116a-118-castle-hill- HFC DFN,NBN New Devs DFN HFC,"$23,249.57"
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R001188-AYCA-48QOI8-2NRN-05-Lodges Road, Elderslie",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2NAB-20-AYCA-5KDV96-43,45,47,49 Eastern Valley Way, Tallwood-FTTN",NBN New Devs,$300.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2GOS-20-AYCA-5OJCT8-Lot 51,155 Woy Woy Road Kariong NSW-Estate+TTFN",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,MW417R002892-AYCA-45502V-2CTW-20-127 Prince St Clarence Town ,NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003080-AYCA-5PAIM1-2CHL-073 Jarrod Close, Charlestown ",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BUP-05-AYCA-5KIM5I-19 Clarence Street, Lake Munmorah-Estate+TTFN",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002640 - AYCA-5SX5PK - 2CRO-23 - 51-55 Burraneer Bay Road, Burraneer",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,MW417R000347-AYCA-397TA7-2TGL-02-6-8 Painters Lane Terrigal,NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003292-9KBA-23-AYCA-5V3DPZ-TTFN-5,11,1,6,9,21,24,25,26 Winser Cres, Kambah, ACT",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2MUL-01-AYCA-5J56F6-70-90 Station Street, Mullumbimby - 1-TTN-MDU",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R002246-AYCA-4P3YPZ-2BAN-67-107 Chapel Road South, Bankstown",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2YON-01-AYCA-5SZ0LP-17 Thornhill Street, Young-1-FTTN",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,Minor Works Maximo,"ND-ACT-9KBA-23-AYCA-5ZJJVL -32 Ivo whitton Circuit, Kambah- Tech Choice",NBN New Devs,$200.00
Sirius Teck Australia,Inv 002,27/05/2019,30/06/2019,NBN Co,NBN A417,"MW417R003220-AYCA-4WLRNG-2ROU-03-51-53 Foxall road,Kellyville ",NBN New Devs,$200.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-22-AYCA-4VAW65-Lot 3,4 & 5 Denison St, Banksmeadow-1-TTFN",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-22-AYCA-5MELWX-Lot 6 Denison Street, Banksmeadow NSW 20-TTFN",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-ACT-9BLC-20-AYCA-609IUY-1 Gibbes Place, Weetangera ACT 2614",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2HMK-20-AYCA-60KQLM-44A Foveaux Street, Surry Hills NSW 2010-FTTN",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003355-AYCA-5O866G-9CVI-22-113 Dooring Street, Dickson",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003326-AYCA-5JO5XA-2BAN-70-5-9 White Avenue, Bankstown - 1",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2PAR-60-AYCA-5QVLJR-60 Veron Street, Wentworthville -1-TTFN",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003328-AYCA-4W57Z3 -2BAN-64-11+17 Cross St Bankstown ,NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2TAM-01-AYCA-5KAIAA Browns Lane, Moore Creek NSW 2340, Austr-Estate",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003367-AYCA-4RS6QG-2KNS-03-William Street Alexandria Transformation,NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-9SCU-08-AYCA-5KAUOH-Lionel Rose, Holt ACT 2615, Australia -Estate",NBN New Devs,$550.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-ACT-9BLC-20-AYCA-609IUY-1 Gibbes Place, Weetangera ACT 2614",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-22-AYCA-4VAW65-Lot 3,4 & 5 Denison St, Banksmeadow-1-TTFN",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-22-AYCA-5MELWX-Lot 6 Denison Street, Banksmeadow NSW 20-TTFN",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2PAR-60-AYCA-5QVLJR-60 Veron Street, Wentworthville -1-TTFN",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003328-AYCA-4W57Z3 -2BAN-64-11+17 Cross St Bankstown ,NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003367-AYCA-4RS6QG-2KNS-03-William Street Alexandria Transformation,NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,"MW417R003326-AYCA-5JO5XA-2BAN-70-5-9 White Avenue, Bankstown - 1",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,"ND-NSW-2HMK-20-AYCA-60KQLM-44A Foveaux Street, Surry Hills NSW 2010-Estate",NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2HOR-24-AYCA-4YTCRX-The Orchard-1- TTFN,NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2ASH-62-AYCA-5ZUB5A-Cardinal Freeman Village-3B-TTFN,NBN New Devs,$600.00
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,NBN A417,MW417R003233-AYCA-4ZHXIF-2KIL-62-8 Buckingham-HFC DFN,NBN New Devs DFN HFC,"$9,180.00"
Teleaus,Inv 003,29/04/2019,31/05/2019,NBN Co,Minor Works Maximo,ND-NSW-2RYD-64-AYCA-4P5T6R-Ryde Calibre-1-HFC-DFN,NBN New Devs DFN HFC,"$1,100.00"
Nintey Nine Group,Inv 714,27/05/2019,10/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$1,968.00"
Nintey Nine Group,Inv 715,27/05/2019,10/06/2019,NBN Co,NBN A417,MW417R001351-AYCA-2LCFXK-2BUR-65-Skyview ,NBN New Devs,"$6,235.80"
Nintey Nine Group,Inv 716,27/05/2019,10/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2PEN-01-AYCA-5E4D09-2-6 Dolerite Way, Pemulwuy NSW 2145, Aus-TTFN",NBN New Devs,"$4,351.30"
Nintey Nine Group,Inv 717,27/05/2019,10/06/2019,NBN Co,NBN A417,"MW417R003288 - AYCA-5L1XWG - 2LIV-67 - 365 Hume Highway, Liverpool Transformation",NBN New Devs,"$1,170.00"
Nintey Nine Group,Inv 718,27/05/2019,10/06/2019,NBN Co,NBN A417,"MW417R003298-2PNN-60-AYCA-5V8GAT-1A DARTFORD RD, THORNLEIGH",Business Segment,"$1,835.00"
Nintey Nine Group,Inv 719,27/05/2019,10/06/2019,NBN Co,NBN A417,"MW417R002737-AYCA-5HZXRM-2SHA-64-88 Reid Street, Werrington County HFC DFN",NBN New Devs DFN HFC,$400.00
Nintey Nine Group,Inv 724,28/05/2019,11/06/2019,NBN Co,NBN A417,"MW417R003248-AYCA-5QX4TH-2EAS-60-164 Cathedral Street, Woolloomooloo",NBN New Devs,$600.00
Nintey Nine Group,Inv 724,28/05/2019,11/06/2019,NBN Co,NBN A417,"MW417R003248-AYCA-5QX4TH-2EAS-60-164 Cathedral Street, Woolloomooloo",NBN New Devs,$650.00
Nintey Nine Group,Inv 724,28/05/2019,11/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-01-AYCA-5XSYES-263-265 Maroubra Road , Maroubra - 1-TTFN",NBN New Devs,$600.00
Nintey Nine Group,Inv 724,28/05/2019,11/06/2019,NBN Co,Minor Works Maximo,"ND-NSW-2BOT-01-AYCA-5XSYES-263-265 Maroubra Road , Maroubra - 1-TTFN",NBN New Devs,$650.00
Nintey Nine Group,Inv 725,28/05/2019,11/06/2019,NBN Co,NBN A417,"MW417R000763-AYCA-5BXBTE-2MIR-27-41 Langer Ave, Caringbah",NBN New Devs,$240.00
Nintey Nine Group,Inv 725,28/05/2019,11/06/2019,NBN Co,NBN A417,"MW417R000606-AYCA-56PJ6I-2GRK-01-645 Pacific Hwy, Kanwal",NBN New Devs,$240.00
Nintey Nine Group,Inv 725,28/05/2019,11/06/2019,NBN Co,Minor Works Maximo,ND-NSW-2KEL-07-AYCA-36XIQO-9 Fairway Drive-1-Estate,NBN New Devs,$240.00
Nintey Nine Group,Inv 725,28/05/2019,11/06/2019,NBN Co,NBN A417,MW22520-AYCA-48OYT0-2EDG-65-240 New South Head Road Edgecliff ,NBN New Devs,$240.00
Nintey Nine Group,Inv 725,28/05/2019,11/06/2019,NBN Co,NBN A417,"MW417R003285-AYCA-5NKJJY-2CRO-24-25 Judd Street, Cronulla Transformation",NBN New Devs,$240.00
