RequestID,EFSCD,Project Status,Comments:
AYCA-4RB8MD,,Completed,"06/07 - Followed up with developer, would like someone to come out visit to help discuss with nbn external works. Site visit required. 
12/07 - Field staff heading out 13/07 to advise developer for lead-in conduit
13/07 - Builder advised 2 weeks time
09/08- Still not ready
10/08- Developer advises lead in to be constructed end of next week, require follow up on 20/08
23/08-  Developer advises he has been pushed back 2 weeks, lead in will be complete 31/08
30/08 - Advised lead-in ready by next week. Confirmation required by contractor and if confirmed, schedule next week
31/08 - Awaiting CRQ date
27/09- CRQ scheduled for approval date is 11/10/2018
02/10 - Link up ready as per builder Rob. Require schedule
04/10 - Check CRQ if any issues
05/10 - CRQ good, booked in WS 08/10 for civils and MPT swap is 16/10
12/10- Civils and hauling completed, pending termination and testing, and MPT upgrade
17/10- Issues with cable damage, required rehaul of SDS cable and also MSS cable feeding MPT
18/10 - Rehaul MSS due to f2 damage inbetween."
AYCA-4RFDRV,,Completed,
AYCA-4RGB2W,,Completed,"06/07 - A END DJL not existing delay
12/07 - Splicing finalising 12/07"
AYCA-4RH5YY,,Completed,"05/09 - Materials ordered, LAAN requested
18/09- Scheduled to begin construction week starting  24/09/2018
21/09 - Not linked, requires civil link up. Need to advise Mark Leal mob civil crew"
AYCA-4ND19Q,20/07/2019,Developer Delay,"30/08 - Requested CLAAN and Contact details. Require Site Visit
14/09 - Site visit complete,. Currently hole in ground
04/04- Comms room to be built in August"
AYCA-3O1ZGP,19/07/2019,Site Visit,
AYCA-4RTZSH,,Completed,"06/07 - Quote for customer lead-in require to be sent to NBN
25-07- waiting for customer reply
03/08 - no change
10/08- Customer approved, require customer detail to confirm attending
15/08- Scheduled for construction of lead-in and remaining haul 16/08, splicing week commencing 20/08"
AYCA-4S0RD5,,Completed,
AYCA-55RMFH,30/06/2019,Developer Delay,"22/07 - Material order request sent, site visit required 21/07 from contractor
26/07: Site visit scheduled for next week
30/07- Site in very early stages , just a slab
11/10- Unable to contact
19/10- Requires another site visit to confirm NBN network"
AYCA-4SM3QD,,Completed,"22/07 - Quote query on hauling sent to Andrew Mahasay
03/08 - job awarded. Awaiting for heritage
06/08- No civils required
14/08- Heritage approved, ready to schedule"
AYCA-4SOX62,,Completed,
AYCA-4SQA1N,,Completed,"16/08 - Scheduled to perform R&R and prove route and haul for week commencing 20/08
20/08 - Hauling complete. Ready for splicing schedule
27/08 - Unable to complete the testing, 4th splitter in FJL was not there, installed splitter but no power.
28/08 - Received PON patching, reschedule to mobilise crew up on "
AYCA-4SRFAN,22/01/2019,Completed,"06/07 - Potenitally have slab poured in three weeks time, follow up on 11/07
12/07- Slab still not poured, Looking at another 6-7 weeks until comms room built 
17/07- waiting to hear back from PM, could not contact site manager today
24/07-call in 5 weeks for update on lead in and comms room 
03/08 - no change
05/09 - Unable to contact
14/09- Unable to contact
18/10 - ACM Pit replacement and new pit install 18/10. A END no FJL exist or cable going to the M/H
19/10- Civils complete, waiting on A end
06/01- Blockage identified
11/01- New pit to be installed over blockage week starting 14/01"
AYCA-4SRFAN,22/01/2019,Completed,"06/07 - Potenitally have slab poured in three weeks time, follow up on 11/07
12/07- Slab still not poured, Looking at another 6-7 weeks until comms room built 
17/07- waiting to hear back from PM, could not contact site manager today
24/07-call in 5 weeks for update on lead in and comms room 
03/08 - no change"
AYCA-4SV0JO,,Completed,"06/07 - NBN PM will advise when VPL complete the Externals
26/07 - External completed, ready for construction internal. Scheduled 30/07
31/07 - internal construction completed. PON reading cannot be performed due to external build not completed yet by others
06/08- Waiting to hear back from Richard Huffadine regarding VPL external completion
16/08- Externals complete, PON patching scheduled 20/08"
AYCA-4T7JU2,,Completed,
AYCA-4T8B52,,Completed,22/08 - LAAN Received
AYCA-4TBHNX,,Completed,
AYCA-4TC0MT,,Completed,
AYCA-4UE5JN,28/02/2019,Completed,"06/07 - 2 old buildings and fenced, not knocked down yet since 24/05. Incorrect EFSCD
26/07: No change
03/08 - no change
14/12- Unable to contact
06/01- Civils and haul completed
01/03- CRQ booked for 11/03
07/03- Approval to door knock"
AYCA-4UKN6A,,Completed,
AYCA-4P5T6R,09/06/2019,Site Visit,"08/05- Materials ordered
31/05- LIC and comms room bout 2 months away. Follow up end of June"
AYCA-4UMUPA,29/01/2019,Completed,"06/07 - Ordered materials, site is in very early stages. 
17/07- Can RRP when in area
18/07- Civils scheduled 19/07, comms room not ready, follow up in a months time 
19/07- Power mains in work zone need spotter to complete link up to road crossing
25/07-  Civils sheduled 27/07
27/07- Follow in a month for update on comms room 
03/08 - no change
30/08- Pushed out another month 
27/09- Unable to contact
28/09- Unable to contact
11/10- Unable to contact
12/10- Advised another two weeks for comms room to be built
18/10 - Ertan advised no progress in internals at this stage
19/10- Developer to send photo of comms room progress, waiting to receive
25/10- Comms room not sheeted yet
31/10- Comms room location changed
23/11- Unable to contact
23/11- Comms room built, waiting for door. will be done next week
30/11- Comms room ready, need to get SWMS approved and have inductions
01/12- SWMS submitted
13/12- Civils and haul completed, waiting on internals
06/01- Internals completed, scheduled for first week back pending SWMS and inductions"
AYCA-4UXA3J,,Completed,06/07 - Finalising splicing 09/07
AYCA-4V7F3M,,Completed,18/07 - Splicing scheduled 19-20/07
AYCA-4VCIKM,,Completed,
AYCA-4VFYJV,,Completed,
AYCA-30GQWB,01/06/2019,Developer Delay,"20/07 - Pending Material order, site visit required
26/07- Civils and haul scheduled week starting 30/07
30/07- Civils complete, haul scheduled for 31/07. Site only at the framing stage, comms room months away. "
AYCA-4VJFPP,09/01/2019,Completed,"06/07 - Civils completed and brought pipe into boundary, lead-in not ready by developer, waiting for dev lead-in - Follow up required
25/07 - Obtained developer contact details and require follow up on when dev will link to lead-in
27/07- Advised link up will be performed in 2 weeks time
03/08 - no change
16/08 - Follow up and link up still not completed by electrician. Require further follow up directly with electrician
30/08- Developer unable to give a timeframe for the link up
11/10- Confirm Monday if link up has been completed"
AYCA-4WQIL0,31/05/2019,Completed,"15/03- Scaff due down in three weeks
15/04- Spoke to developer, Ling, LIC to beee brought out approx week starting 29/05. Agreed that i will call back for update that week. 
07/05- LIC being trenched in today"
AYCA-4VVND3,,Completed,
AYCA-4W3F0S,,Completed,"03/08- LAANs received, 15th Aug start date 
16/08 - Ready to schedule
28/08- Scheduled 29/08
31/08 - Construction proposal submitted, waiting for NBN FS and NBN PM for response to proceed with options"
AYCA-4W4BKH,,Completed,
AYCA-4W4BKH,,Completed,
AYCA-4VSW7K,25/05/2019,Developer Delay,"20/07 - Materials ordered, pending site visit
24/07- Site in very early stages, still escavating
03/08 - no change
02/05- Haul complete, link up ready as advised by developer
07/05- Link up not yet complete, due in the next week or so. riser and cable tray also not complete"
AYCA-4W7GEZ,,Completed,
AYCA-4W844H,28/02/2019,Completed,"20/11- Copper jointer scheduled to scope week starting 03/12
14/12- Site scoped, trench dug for pit and pipe work to service back two lots, needs to be linked up
"
AYCA-3CIGB0,06/09/2019,Site Visit,"25/03- LIC to be brought out within next few weeks
28/03- Crane needs to be taken down, approx 2 months. Handover in July"
AYCA-36XIQO,20/05/2019,Completed,"05/04 - NDD to be submitted 08/04
16/04- DDD submitted 15/04
29/04- DDD approved"
AYCA-4X6TWU,15/02/2019,Completed,"06/07 - Advised by NBN, site revised EFSCD in November, site pushed out
10/07 - No change
26/07: No change
03/08 - no change
28/09- Conduit has been brought to boundary, waiting for electrcians details to cofirm it has been linked
11/10- Advised call at end of month for follow up
26/10- Link up completed, waiting for cable tray and comms room, developer to advise dates for these to be ready
02/11- Main switch room a month away
14/12- Switch room ready
14/12- Advised internals wont be ready until late Feb"
AYCA-4X6TWU,15/02/2019,Completed,"06/07 - Advised by NBN, site revised EFSCD in November, site pushed out
10/07 - No change
26/07: No change
03/08 - no change
14/12- Advised internals wont be ready until late feb"
AYCA-4XC850,04/01/2019,Completed,"28/03-Civils complete, waiting on design
28/03- DDD submitted"
AYCA-4XR9F8,28/02/2019,Completed,"20/07 - Materials ordered, pending site visit
26/07: No change
03/08 - no change
22/08 - Development very early stages. Slab at the moment. Require follow up later
19/10- LIC trenching starting next week
26/10- Unable to contact
16/11- LIC built, waiting on comms room
15/03- CVivils and splicing complete"
AYCA-4XTH50,,Completed,
AYCA-4YHOA0,16/03/2019,Completed,"07/12- Lead in and comms room ready
02/03- Scoping week starrtting 04/03
07/03- Ready for link up, footpath not due for another month or so"
AYCA-4YJULB,25/01/2019,Completed,"06/07 - Advised by Nabeel, site not ready for a while - Externals on this EFSCD 29/10
26/07: No change
03/08 - No change
16/11- Everything installed, waiting on externals and electrician to install power points for NTDs
23/11- Unable to contact"
AYCA-4YPJJH,,Completed,
AYCA-4YZGFK,25/01/2019,Completed,
AYCA-4Z4FSB,,Completed,"06/07 - Followed up with developer, advised follow up in 1 months time from 20/06 to obtain update for us to perform drill shot - Michael 0417675931
20/07- Have not been able to contact
25/07 - Made contact, developer advised 4 weeks time for pathways and lead-in brought out. Street works also to commence that time.
03/08 - No change
15/08- Awaiting developer to build new kerb, estimated 2 weeks. Can then potentially book in a driller as soon as the developer confirms water lead in depths
16/08 - Provide heads up to driller about job coming up soon
30/08 - Waiting to confirm driller availability
03/09- Developer ready
05/09- Drill shot to be completed 15/09
14/09 - Drill shot done. 40m Trench to Cnr Yarrunga, install 8 pit, Link up 2 x P100s dev
04/10 - Completed"
AYCA-4S2PFJ,17/05/2019,PC,18/04- PDH installed
AYCA-4Z992M,,Completed,"06/07 - Waiting on 12F Double ended tether - 16/07
19/07- still waiting on materials, ETA 13/08
26/07: No change
03/08 - awaiting for 500m double ended tehter to schedule. Advised by Mark that material will be available to NBN warehouse on the 6th of August
07/08- Scheduled in for week starting 13/08"
AYCA-50FP2M,,Completed,"04/07 - Awaiting for revised LAANs due to major chages in civil works
12/07 - Followed up on revised LAANs
17/07- LAANs approved, organising a driller for an early start 
19/07- Civils started, pit upgrades and prep for driller.
26/07- Drill commencing 06/08
03/08 - Drilling pushed out
17/08 - Field completion by 28/09, PC by 08/10"
AYCA-51V8JL,,Completed,"06/08- Civils scheduled week starting  13/08
10/08 - Splicing scheduled likely 14/08
17/08 - Field completion 17/08 and PC 20/08"
AYCA-52950S,,Completed,
AYCA-52OEM0,04/02/2019,Completed,"06/07 - Site ready in late sept, need to confirm when LPC will be ready 
26/07: No change. 
03/08 - no change
16/08 Followed up - lead-in ready late Oct. Require 2 x ACM upgrade as pits are completely crushed/damaged. 1. Lead-in pit, 2. route pit
31/08 - Pending revised design of lead-in pit issue. Internal plans do not match original plan. Pending NBN internal plan
11/10- site follow up 12/10/2018
12/10- Developer advises another month until lead in conduit is built
30/11- Scheduled for 10/12
14/12- Civils complete, pending haul and splice"
AYCA-52UC2N,,Completed,
AYCA-4BA1DQ,04/05/2019,Site Visit,"07/03- Vacant lot, advised it will not be built for another year"
AYCA-52VCLT,16/02/2019,Completed,"09/11- LAANs and contact requested
14/12-  Scaff still in the way, due to be taken down next week. Schedule for early in the new year
11/01- Telstra relocation works commencing 22/01, schedule our link up for 23rd
15/02- Blockages to be cleared week starting 18/02
22/03- Haul complete"
AYCA-52ZO0L,,Completed,"06/07 - Lead-in accessibility wont be ready till 21/07
16/07 - Scheduled civils and hauling to be done 21/07, schedule splicing next week"
AYCA-52ZO0L,,Completed,"06/07 - Lead-in accessibility wont be ready till 21/07 developer delay
16/07 - Internals physical devices installed, waiting on Externals to be completed to perform tests"
AYCA-53063P,,Completed,
AYCA-53E534,,Completed,
AYCA-53E534,,Completed,
AYCA-541Y7O,,Completed,
AYCA-54DAGS,01/03/2018,In Design,"06/08- Under Design 
31/08 - Survey completed, on-hold
18/01- On hold"
AYCA-54N6L7,08/03/2019,Completed,"02/03- Scheduled WS 04/03 for civils
07/03- Civils complete, haul and splice outstanding"
AYCA-56PJ6I,04/05/2019,Completed,"15/06 - Pending material order and Site Visit
17/07- Materials ordered, site visit 23/07
17/08 - no change
11/10- Building only at ground level, advised the site has been pushed ut until February 2019. Call for follow up late November as they will potentially be ready for us then
14/12- Still on first level, site pushed out to March, Comms room and pathways complete, lead in waiting on scaff to come down
02/03- Scoping WS 04/03
18/04- Civils and haul complete, splicing to commence 06/05"
AYCA-54QSHT,,Completed,
AYCA-54SUCD,,Completed,
AYCA-54VFA3,,Completed,
AYCA-5SX5PK,01/05/2019,Completed,"18/01- Advised to come in end of Feb, around the same time footpath will be getting repoured"
AYCA-5576QH,,Completed,"06/07 - External route proven with civils completed, hauled cable up to lead-in pit. 2-3 weeks away from 28/06 until lead-in ready
12/07 - Developer advised should be ready by end of next week 20/07
20/07 - Developer not complete link to MDF. Still excavating power and telco conduits which not occured on Seaview Rd by dev. Pending dev
25/07 - Follow up with Comms Connect
26/07- link up by developer completion by next week
27/07-  Advised lead in to be 3 weeks away
03/08 - no change
16/08 - Advised by foreman can attend to link dev pipe after 20/08, schedule civil/haul/splice week commencing 20/08
22/08 - Developer not ready yet, waiting on power conduit to be lowered.. require to confirm complete
31/08 - Advised power works happening today, dev was unaware require to bring lead-in to boundary, should have corehole and lead-in ready by Monday. Follow up Monday to confirm civil mobilisation
05/09- Unable to contact developer"
AYCA-55AQIZ,16/02/2019,Completed,11/01- Waiting for materials
AYCA-55AZ5J,14/12/2018,Completed,"14/11- Dependant project in service, materials ordered, waiting on LAANs
15/11- Ertan advises possible change of external design
23/11- Scheduled for RRP week starting 26/11"
AYCA-55F4KR,,Completed,
AYCA-3S7B4B,30/04/2019,Completed,"22/07 - Material order request sent, site visit required
26/07- Need to contact Sevices Manager 
03/08 - no change
30/08- Site meeting 31/08
03/09 - Site visited, SWMS/Scope sent to UTS PM, LPC not ready, approx Sept/Oct, need also ROL-Night works
07/09 - Revising SWMS
21/09 - Mid Oct scheduled in for construction
27/09- Now aiming for November when the hoarding will be taken down 
12/10- Another site meeting booked as Richard Crookes has lost our SWMS
09/11- Waiting on SWMS approval
30/11- Scheduled for 5th and 6th Dec
13/12- Civils completed, blockages identified, need a new ROL in order to investigate further
06/01- ROL receievd for week starting 07/01
02/03- Waiting for internals
07/03- No Change
18/04- Scheduled Wednesday 24/04
02/05- Unable to get red light through from DJL-002 and DJL-004, need to investigate further
09/05- Further investigation unsuccessful. Need to recieve full asbuilt of DSS-003. Requested"
AYCA-55JW1J,,Completed,"06/06 - A END does not exist and waiting on PDH (approx 4 weeks from 20/07)
26/07 - PDH aimed to be installed by 03/08
03/08 - awaiting advise from Ertan in regards to PDH installation
06/08- PDH to be installed this week, Spicing scheduled for week starting 13/08
09/08 Awaiting NBN confirmation on PDH
13/08 - PDH confirmed installed. Forecast splicing week commencing 13/08
15/08- Waiting for confirmation of a end 
06/09 - Confirmed A end built. Scheduling for WS 10/09"
AYCA-55KUFO,,Completed,"06/07 - Identified need to drop pit over P100 exist, link lead-in, booked in for gas spotter 21st july. 
25/07 - Civils completed, haul and splice commenced 24/07. Civil delayed due to defects on the developer pit and pipe
26/07 - PC aimed by 31/07
10/08- Pit Relocation scheduled 13/08
16/08- PCD termination scheduled 21/08
22/08 - Civil build unexpected - additional 15-20m trench, removing trees out of way, PC docs in 24/08"
AYCA-55JR8W,25/03/2019,Site Visit,"28/08 - Materials ordered, CLAAN requested, contact details requested
28/03- No LAANs, no A end, tunnel network
04/04- Advised LAANs will be received in 4-6 weeks
11/04- New design to be issues
09/05- Recieved new LAANs, waiting for heritage exemption
24/05- Waiting for confirmation on tunnel
28/05- Tunnel confirmed, waiting for Telstra plans"
AYCA-55S741,,Completed,
AYCA-55XM3V,28/02/2019,Completed,"19/10- Materials ordered
08/11- Advised builder to bring his corehole out from corner, waiting for comfirmation this is complete
16/11- Advised to call back next Friday
13/12- Civils completed, haul outstanding, internals not yet complete
18/01- Haul scheduled week starting 21/01
19/02 - Hauling completed"
AYCA-55ZVL2,,Completed,"18/09 - Requested if dependency site completed for commence of patching/testing only
25/09 - LAANs received, start 01/10
02/10 - Commence WS 02/10
05/10 - Weather pushed splicing, WS 08/10 ,Patching and testing only"
AYCA-562Y8R,,Completed,"13/11 - Crew attending today, possible internal SDS haul difficulty
16/11- Blockages identified, ACM pit upgrades required. link up to new LIC
20/11- To revise dates on Thursday after we RRP
23/11- new build proposal to come on Monday
01/12- New proposal sent
14/12- Waiting on new LAANs, driller scheduled for mid Jan
06/01- New LAANs commence 14/01
"
AYCA-56B97M,30/01/2019,Completed,"06/07 - Civils and hauling complete, lead-in not ready from dev, brought to boundary
10/07 - Require follow up with developer when lead-in linked
13/07- Developer to call back with an update once he has spoken to eletrician, call george 0413726907
20/07- Developer has still not answered
25/07- Developer has still not answered
02/08 -Contacted developer waiting for electricians details 
09/08- Have not been able to conact since 02/08
10/08- Contact Radi 041134411 (electrician) to confirm link up and schedule a date to commence work
17/08- Site still delayed, Bill 0401723071 thinks it will be up and running in another two weeks
29/08- Develoepr advisesd that they are getting a new electrician, will contact me when they are ready
05/09 Electrician to complete lead in conduit week starting 10/09
10/09 - Advised lead-in completed, ready to schedule
21/09 - To confirm with developer on Monday if ready"
AYCA-56GK8A,,Completed,"26/07 - Material order request sent, site visit required. Request for LAAN and confirmation whether we are installing up to SC2. Dependant on other site, AYCA-2JGND9
26/07- Not hauling SDS, waiting on LAANs
27/07- LAANs received ready on 15/08
03/08 - No change
16/08 - Scheduled field work commence  17/08, splicing scheduled week commencing 20/08
20/08 - Civils and hauling completed, Ready for splicing schedule"
AYCA-56GQ2L,,Completed,"28/08 - Survey laan sent 27/09, 05/09 will be survey
11/09 - Rescheduled survey to complete yesterday, FIR to be sent today (few units were locked)
09/10 - CLAANs commence 22/10
26/10- Encountered issues with RRP as the internal conduit was not to spec"
AYCA-56I886,,Completed,"09/07 - further developer delay, call back in two weeks 
19/07- further delay, waiting for scaff to come down, 2-3 weeks 
26/07: Follow up on the 6th of August
02/08 - no change
03/08- Devloper advises another two weeks untill scaff is down 
15/08- Scaffolding is down, developer advises another two weeks for lead in conduit to be brought out 
30/08- Developer thinks end of next week he will be putting conduit in whilst doing the sewer. 
07/09 - Follow up 12/09 to see if sewer complete
14/09 - Dev advised follow up on 20/09
20/09 - Dev advised follow up on 28/09
05/10 - Confirmed booked for 09/10
10/10- Civils completed, hauling scheduled pending rain
18/10- Pushed out due to Clarke street
25/10- Pushed out required new PON Patching "
AYCA-2I98H3,22/03/2019,NBN Internal Delay,"01/03- Aboriginal importance issue
02/03- Awaitijng response
07/03- No channge, developer is restoring footpath in the next few weeks
22/03- Waiting for response from NBN
28/03- No change
09/05- Waiting for heritage exemption"
AYCA-56PP6W,,Completed,"06/07 - Encountered blockage, require dig down repair, hauling commencing 06/07, B END TBC if lead-in ready etc
25/07-  follow up on 02/08
27/07- Civils and haul scheduled for week starting 30/07
01/08 - Civil done
03/08 - blockages encountered. Hauling in progress
07/08- Splicing scheduled for week starting 06/08
09/08- A end does not exist, cannot splice, awaiting update from NBN regarding A end installation 
24/08 - Still waiting and also damaged internal cable. Developer installed new lead-in and may have damaged pit. Require site visit.
05/09- A end has been built
07/09 - Waiting for Internals to be built"
AYCA-56YKSC,,Completed,
AYCA-56YY5F,,Completed,"13/11 - Scheduled for R&R prove crew WS 19/11. Materials ordered
16/11- waiting for response from developer on ETA for comms room and LIC to be built
23/11- RRP scheduled week starting 26/11
27/11- pushed out until  03/11/2018, waiting on ROL
14/12- ROL receievd, waiting on 2nd LIC
11/01- Still waiting on ETA for second LIC, new ROL applied for.
19/02- Meeting organised on Monday 25/02, commence build 04/03
02/03- Second site meeting 04/03, build to commence after
12/03- Waiting for developer to move dirt pile so we can trench to pit to link up"
AYCA-4PRYRR,22/03/2019,Completed,"23/11- Waiting for confirmation of dependent sites
19/12- LIC brought out to the 3 pit next to 6 pit, not visually confirmed. Footpath due to be repoured end of Jan/ early Feb, comms room nearly ready
11/01- Scaffolding due down end of Jan, follow up then
22/03- Waiting for an ROL
11/04- No change
18/04- ROL recieved, schedule WS 29/04
02/05- Civils and haul complete, splicing outstanding
09/05- Pushed out a week due to higherdale rework"
AYCA-577BDS,31/01/2019,Completed,"06/07 - Ordered materials 06/06
13/07 - Waiting for Externals to be ready
26/07: No change
03/08 - no change
15/08- Sent update request for externals
07/03- On track for FC WE 08/03"
AYCA-57CAFW,,Completed,
AYCA-57CH4J,,Completed,
AYCA-48S696,08/03/2019,Developer Delay,"20/07 - Field obtained incorrect contact, was another site next door which was almost complete and done by VPL. Actual site is a hole in the ground, no one onsite.
26/07: No change
03/08 - no change"
AYCA-57KT5A,,Completed,"06/07 - Comms box should be built by 06/07, require follow up 09/07
12/07- Meter box should be built 13/07. follow up friday afternoon
13/07- Confirmed PCD installation, scheduled in week commencing 16/07
17/07- to be finished by end of week "
AYCA-57S6JD,,Completed,"06/07 - Site still few months out. RRP attempted; identified require night works, too many vehicles parked onto pits, blockages, HP gas require standby
03/08 - No change
30/08 - Site rod and rope required on other side of road to determine to get to the end of development and propose road crossing. Will require gas standby
06/09 - Follow up with contractor re: other side route
07/09 - Alternate route been proven today
13/09 - Original route proven during after hours with blockages rectified
14/09 - Book in gas standby to schedule civil link up
20/09 - Speak to developer to see if macquarie gas can perform trench so we can lay conduit in to link with pit
20/09 - Jemena booked 27/09 1pm
04/10 - Substation very close to the PCDs, Splitter multiports also moved back down and ACM pit now required replacing, Gas standby require booking now
05/10 - Waiting for standby to respond and confirm date
09/10- Have tried calling Jemena with no success on the  05/10, 06/10, 09/10
10/10- Gas spotter booked in for 16/10 at 700"
AYCA-57Y4AJ,,Completed,"15/10- Request for CRQ
02/11- Just MPT upgrade and patching
09/11- Still awaiting CRQ
13/11- CRQ for 21st- 23rd "
AYCA-583XDD,01/02/2019,Completed,"15/08 - Materials ordered, site visit required
16/08 - Site not ready to perform civil link up, will revisit when performing 2 x MPT swaps. CRQ in for 04/09
07/09 - Reapply CRQ, require site visit for lead-in check if dev ready
21/09 - CRQ was rejected due to no forecast attend site date, reapply 24/09
28/09- CRQ booked for 16/10
17/10 - Completed MPT swaps, leadin and individual internal lead-ins not ready.
27/11- Requires follow up in Dec
14/12- Developer has completed link ups"
AYCA-58BKNK,02/02/2019,Completed,
AYCA-58QIXQ,,Completed,
AYCA-591MZC,,Completed,"15/08 - Materials ordered. LAAN requested, contact details requested, site visit required
28/08-  Internals complete "
AYCA-59CA2X,,Completed,"24/07 - CRQ Required to be raised and scheduled for MPT swap
26/07- Waiting to hear back from Mark Leal regarding haul
26/07- CRQ request sent
27/07- LAANs received
03/08 - CRQ booked in for 27/08
14/08- Pending site visit and MPT swap
28/08- Splicer discovered bad splice in AJL, rescheduled for completion 29/08
29/08- Fault was between AJL and MPT, requires rehaul. Blockages found on first attempt
07/09 - Reraise CRQ, 25-27 September, blockage on run, require RRP and Civils"
AYCA-59DV6W,,Completed,"06/07 - Issues with tracing connection from exchange to MPT, could be faulty MPT. Not proceeding to swap yet, need further investigation
12/07 - Further investigation booked in 13/07
25/07 - Fibre cut, solution proposed to NBN, waiting on NBN response - follow up with Ertan
26/07 - Email received from Ertan. waiting for approval from design and FS. estimated 2 days left of construction"
AYCA-5A2Y34,15/02/2019,Completed,"06/07 - Ordered materials 06/06, require site visit
26/07:  Proposed site visit by the 3rd of August
03/08 - Site in early stages of construction 
27/09- Still waiting for first level to be built. Developer advises atleast a month
19/10- Developer advises another three weeks
11/01- LIC ready, sheeting walls of comms room"
AYCA-5ALZB0,,Completed,
AYCA-5ALZB0,,Completed,
AYCA-5AVN4W,,Completed,"06/07 - Scheduled crew civils RRP + Civils 12/07 - site also still early
12/07 - Need to send alternate route plan road crossing to Ertan, require revised LAANs
25/07 - Advised design on new MPT location, waiting for revised LAANs. 
26/07 - LAAN waiver received. civils scheduled for week starting 30/07
01/08 - multiple blockages. at least 3 blockages.
09/08- Road crossing does not exist, one blockage will require a new build, MPT needs to be oved to 8 pit on corner of Maida and Forest Grove to avoid joining tethers
09/08- Need to prove alternate route before sending proposal
15/08- Proposal sent and approved, civils and haul feild completion 17/08"
AYCA-5AXHNZ,,Completed,"09/07 - Materials ordered, Site visit required
26/07: Site visit organised for 27/07
03/08 - awaiting for design response
09/08- Design approved, waiting for new job pack and CTL installation dates from Ertan
22/08 - Pending SOPA Permit, submitted on 27/08
20/09 - Delay on SOPA, require follow up
04/10 - Site access issues regarding boom lift, require another boom lift that can be utilised on the ramp to cable tie haul cable. Success to get access with hours behind, potential PC submit now 05/10
05/10 - Change of design, cable damaged, build pushed out till 08/10"
AYCA-5BOGUB,22/02/2019,Completed,"22/01- public domain works due in fortnight
11/02- New design underway, LAANs ciommence 26th Feb, need to do work inside site before this and tie in with public domian works
15/02- LAANs commence 26/02, scheduled to start on 25/2 internally"
AYCA-4L1IJG,08/03/2019,In Construction,"23/11- Materials sent to contractor, site visit to come
14/12- Multiple blockages identified, new route confirmed but requires 60m new build
11/01- New proposal sent through
14/03- Hauling route exceeds 500m, new design proposal sent through
22/03- new design approved, no CWP
11/04- Cable hauled, waiting for lead in to be brought out to do civils"
AYCA-5BX3DW,,Completed,"06/07 - Potentially October A END will be available. NBN to find alternative A END
12/07 - Ertan to follow up
25/07 - Alternative route, waiting on parent site (MPT): (AYCA-3RKWY1)  - scheduled to complete October. DT to remove FSD cable
02/08 - Advised MPT will be installed 17/08
09/08- MPT location changed, awiting PON Patching
16/08 - VPL installing end of week. Possible commencement week commencing 20/08
21/08 - Hauling completed but BMPT from VPL not installed. Advised NBN.
24/08 - Advised MPT install should be done on weekend, schedule 27/08 week starting"
AYCA-4ULUDH,30/07/2019,Site Visit,"18/01- Site very early stages, due end of Feb
01/03- R%ough in no yet started, site approx 4-5 months away from handover"
AYCA-5CMO2F,22/02/2019,Completed,"13/08 - Ordered materials, requires site visit, requested for LAANs
06/01- Development nearly ready, sheduiled for scope week starting 07/01
11/01- Unable to contact, child site hanging off AJLwith EFSCD 01/02/2019
01/03- internalsd scheduled ws 08/03
07/03- Scheduled WS 11/03"
AYCA-43APKG,01/03/2019,Site Visit,"23/11- still awaiting councilo LAANs, only receieved RMS
19/12- Concrete structure, no framing, suspect lead in already completed by developer
22/03-  Link up done by developer, haul and splice outstanding. waiting for A end, due 26/04. materials ordered
04/04- Jemena booked for 06/05"
AYCA-5CSK69,,Completed,
AYCA-5CYZU8,,Completed,"20/08 - Quote submitted
24/08 - Re-signed MWI
29/08 - Project received, Requested LAAN, PON Patching SOW, Contact Details"
AYCA-5D2DU0,08/02/2019,Completed,"16/11- Materials ordered, sent to contractor
23/11- Civils and haul scheduled week starting 26/11, splicing scheduled week starting 03/12
01/12- Haul completed, splicing pushed out to week starting 10/12
14/12- Splice completed"
AYCA-5D4EG4,,Completed,"24/08 - Received project
26/08 - Requested LAANs and docs. Materials ordered
11/09 - Hauled completed, roped lead-in to side of house"
AYCA-5DL8UH,10/05/2018,Completed,"11/09 - Survey scheduled 13/09
18/09 - Survey was delayed, now commenced today
25/09 - Submitted FIR on 21/09
23/10- Awaiting response, Shankar to speak to Mark Leal by  Friday if nothing heard
11/01- Scheduled for week starting 14/01
18/01- Scheduled for week strating 21/01
01/02- Civils and haul complete, splicing scheduled week starting 04/02"
AYCA-5DPOWN,,Completed,"06/07 - Waiting on 1000M cable, once receive, schedule haul and splice
12/07 - Material arrived. Scheduled week commencing 16/07
17/07- to be completed by end of the week"
AYCA-5DPOWN,,Completed,
AYCA-5DVB9M,21/12/2018,Completed,"25/10- Internals complete
08/11- Conduit located, need to dig down and see if we can extend to boundary
13/11 - Dig down performed last week, could not find duct, identified concrete potential footing. Confirmed from dev it was not. Site visit on 13/11 with NBN FS indicate to dig down back to A end but widen the dig down to locate comms
01/12- Waiting on electrician to install cable tray"
