Item ID,Item Description,Unit of Measure (UoM),"Total per Unit 
($/UOM)",
03-04-01,Cable Direct Buried by Plough Techniques,,,
03-04-01-01,Installation only of single cable by plough techniques in OTR at 600mm cover,Per metre,Quote,
03-04-01-02,Installation only of single cable by plough techniques in OTR at 900mm cover,Per metre,Quote,
03-04-01-03,Installation only of single cable by plough techniques in OTR at 1200mm cover,Per metre,Quote,
03-04-02-01,Heavy clearing (trees over 150mm in diameter and/or large boulders) along alignment,Quote,Quote,
03-04-03,Cable direct buried by open trenching techniques,,,
03-04-03-01,Installation only of single cable by open trenching technique in OTR at 600mm cover,Per metre,Quote,
03-04-03-02,Installation only of single cable by open trenching technique in OTR at 900mm cover,Per metre,Quote,
03-04-03-03,"Installation only of single cable by open trenching technique in OTR at 1,200mm cover",Per metre,Quote,
03-04-03-04,Installation only of single cable by open trenching technique in Rock at 600mm cover,Per metre,Quote,
03-04-03-05,Installation only of single cable by open trenching technique in Rock at 900mm cover,Per metre,Quote,
03-04-04,Additional Cable Installation,,,
03-04-04-01,Installation only of an additional cable by open trenching or plough techniques,Per metre,Quote,
03-04-05,Cable Lay up,,,
03-04-05-01,Cable layup required during open trenching or plough techniques only where the cable layup distance is greater than 300 metres ,Per metre,Quote,
03-05-01,Micro-Trenching,,,
03-05-01-01,Installation only of a single cable by micro-trenching techniques,Per metre,Quote,
03-06-01,Marker Posts,,,
03-06-01-01,Supply and install marker posts for buried underground cable (where applicable) including face plate requirements (assume standard 1800mm galvanised star picket with cable marker sign and marker location/caution sign attached by galvanised brackets).,Per Post,Quote,
04-03,Cable Installation Aerial to Underground Transition,,,
04-03-01-01,Installation of Local Network and or Distribution Network cable from aerial network to underground network and vice versa at the pole (base of pole) including the supply and installation of all fixtures and fitments including the pole riser pipe (P50 pipe) and mower guard.,Per installation,$640.85,
06,FIBRE JOINT ENCLOSURE INSTALLATIONS AND FIBRE SPLICING,,,
06-01-01,Installation of Joint Enclosures,,,
,Re-entry of Fibre Joint enclosure,Per enclosure,$144.00,
06-01-02,Joint Enclosure Cable Preparation,,,
06-01-03-03,"Prepare 312 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint,Quote,
,"Prepare 12 fibre ribbon cable for joint enclosure and de-ribbonising (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint,$116.64,
,"Prepare 1 fibre cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per sheath into or out of joint,$66.00,
06-02,Fibre Distribution Cabinets (FDH),,,
06-02-01-02,Installation only of an external 144 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth,Per cabinet,"$2,562.86",
06-02-01-03,Installation only of an external 288 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth,Per cabinet,"$2,562.86",
06-02-01-04,Installation only of an external 432 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth,Per cabinet,"$2,562.86",
06-02-01-05,Installation only of an external 144 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per cabinet,"$2,562.86",
06-02-01-06,Installation only of an external 288 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per cabinet,"$2,562.86",
06-02-01-07,Installation only of an external 432 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per cabinet,"$2,562.86",
06-02-01-08,Installation only of an external 576 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per cabinet,"$2,562.86",
06-02-01-09,Installation only of an external 864 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth and installation only of a pit,Per cabinet,"$3,950.00",
06-02-01-10,Installation only of an external 864 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth ,Per cabinet,"$3,950.00",
06-02-01-11,Installation only of an external 576 fibre distribution cabinet (FDH) including the supply and installation of a concrete plinth ,Per cabinet,"$2,562.86",
06-03,Fibre Distribution Frames,,,
06-03-01-01,Installation only of typical high density fibre distribution frame fully equipped with preinstalled patch panels and fibre tails,Per frame,Quote,
06-03-01-02,Installation only of typical high density fibre distribution frame fully equipped without fibre tails but includes installation of patch panels and tray components,Per frame,Quote,
06-03-01-03,"Installation of an optical fibre sub-rack (72 fibre capacity)  in optical distribution frame or equipment chassis, prepare and install ribbon fibre cable into break-out device, install cable sheath or tube into sub-rack and install on splice tray, and fusion splice ribbons",Per sub-rack,$479.06,
,"Installation of an optical fibre ribbon cable in optical fibre sub-rack, prepare and install ribbon fibre cable into break-out device, install cable sheath or tube into sub-rack and install on splice tray, and fusion splice ribbons",Per 72 fibre,$479.06,
06-04-00-01,Cable termination in FAN,Per cable sheath,"$3,794.34",
06-02-00-03,Installation of splitter within a BJL enclosure,Per splitter,$77.17,
06-02-00-08,Installation of splitter within a FJL enclosure,Per splitter,$77.17,
06-02-00-09,Installation of splitter within a PDH cabinet ,Per splitter,$77.17,
06-05,Multiport Installations,,,
06-05-01,Multiport Installations (Aerial),,,
06-05-01-01,Install only timber pole mounted multiports including the supply and installation of all necessary J-hooks and connection materials for lead-in aerial drops,Per unit,$192.99,
06-05-01-05,Install only timber wall mounted multiports including the supply and installation of all necessary connection materials ,Per unit,$192.99,
06-05-01-06,Install only brick/concrete wall mounted multiports including the supply and installation of all necessary connection materials ,Per unit,$192.99,
06-05-01-07,Install only metal sheet wall mounted multiports including the supply and installation of all necessary connection materials ,Per unit,$192.99,
06-05-02,Multiport Installations (Underground),,,
06-05-00-02,Installation of multiport or splitter multiport on any pole,Per multiport,$245.38,
06-06,Splicing,,,
06-07-01-03,Local Network OTDR testing per fibre from the FDH to the lead-in side of the Aerial multiport,Per fibre,$48.60,
06-07-01-04,Local Network Insertion Loss testing per fibre from the FDH to the lead-in side of the Aerial multiport,Per fibre,$61.95,
06-07-03-01,Premises Network OTDR Testing per fibre from the PDH to the lead-in side of the FDT,Per fibre,$48.60,
06-07-03-02,Premises Network Insertion Loss Testing per fibre from the PDH to the lead-in side of the FDT,Per fibre,$61.95,
,Local Network OTDR testing per fibre from the SMP to FJL,Per fibre,$58.32,
,Distribution Network OTDR testing per fibre from the FAN/TFAN to FJL,Per fibre,$58.32,
,Distribution Network OTDR testing per fibre from the FAN to the CTL,Per fibre,$48.60,
,PATCHING,,,
,FDH Patching (Splitter Patching),Per Patch,$10.00,
,FDH Patching (Point to Point Patching),Per Patch,$10.00,
,PDH or CTL Patching,Per Patch,$10.00,
,PON Level Test,Per Fibre,$20.00,
,FAN/TFAN PON Patching (inclusive PON Level test),Per Patch,$120.00,
,Mobilise to Telstra Exchange,Each Exchange,$256.38,
,Materials for PON Patch,Each,$111.43,
08,TRAVEL & ACCOMMODATION,,,
08-01-01-01,Zone 1 - Sites within 101km - 300km of nearest state or territory capital CBD,Each,$3.50,
08-01-01-02,Zone 2 - Sites within 301km - 500km of nearest state or territory capital CBD,Each,$3.50,
08-01-01-03,Zone 3 - Sites >500km from nearest state or territory capital CBD,Each,$3.50,
,Travel Allowance  or LAFA,Each,$205.00,
09,MISCELLANEOUS HOURLY WORK RATES,,,
09-01-01-01,Labourer,Per hour,$88.91,
09-01-01-02,Labourer overtime – out of hours rate,Per hour,$118.29,
09-01-01-03,Plant Operator,Per hour,$97.58,
09-01-01-04,Plant Operator overtime – out of hours rate,Per hour,$126.17,
09-01-01-05,Telecommunications Technician fully equipped including vehicle,Per hour,$114.34,
09-01-01-06,Extra over for Telecommunications Technician fully equipped overtime including vehicle – out of hours rate,Per hour,$167.57,
09-01-01-07,Advanced Telecommunications Technician fully equipped including vehicle,Per hour,$128.14,
09-01-01-08,Advanced Telecommunications Technician fully equipped overtime including vehicle – out of hours rate,Per hour,$187.29,
,Copper Jointer (Fully equipped including vehicle)  Telstra,per Manhour,$97.75,
,Copper Jointer (Fully equipped including vehicle) - Out of hours rate Telstra,per Manhour,$138.00,
,Technician (Fully equipped including vehicle) Telstra ,per Manhour,$97.75,
,Technician (Fully equipped including vehicle) - Out of hours rate overtime Telstra ,per Manhour,$138.00,
09-01-01-09,Electrical Linesworker fully equipped including vehicle,Per hour,$275.64,
09-01-01-10,Electrical Linesworker fully equipped overtime including vehicle – out of hours rate,Per hour,$317.68,
09-01-01-11,Level 3 Accredited Electrical Designer - Office Based,Per hour,$222.77,
09-01-01-12,Telecommunications Designer - Office Based,Per hour,$97.49,
09-01-02 to 09-01-08,Plant and Equipment,,,
09-01-02-01,Provision of float charges for the movement of large plant and equipment between work sites,Per km,$7.10,
09-01-03-01,EWP truck mounted up to 12m with operator,Per hour,$226.71,
09-01-04-01,Bobcat with 4-in-1 bucket,Per hour,$167.57,
09-01-05-01,"Backhoe, JCB3CX or equivalent",Per hour,$187.29,
09-01-06-01,Excavators up to 10 tonnes,Per hour,$203.06,
09-01-06-02,Excavators 10 to 15 tonnes,Per hour,$226.71,
09-01-06-03,Excavators up to 10 tonnes fitted with rock breaker,Per hour,$266.14,
09-01-07-01,Single-axle tipper truck 5 tonne load,Per hour,$138.00,
09-01-07-02,Double-axle tipper truck 9 tonne load,Per hour,$157.71,
09-01-08-01,Dozer (306 - 400 kw),Per hour,$492.86,
10,PROVISIONAL SUM ITEMS ,,,
10-01-01-01,Local Authority Charges ,Quote,Quote,
10-01-01-02,Telecommunication Utility Charges ,Quote,Quote,
10-01-01-03,Power Make Ready Construction Activities Design ,Quote,Quote,
10-01-01-04,Power Make Ready Construction Activities Construction,Quote,Quote,
10-01-01-05,Toxic Waste Material Removal ,Quote,Quote,
10-01-01-06,Traffic Control Works ,Quote,Quote,
10-01-01-07,Exceptional Environmental and Heritage assessments / studies or approvals,Quote,Quote,
10-01-01-08,Geotechnical Investigations or Testing,Quote,Quote,
10-01-01-09,Registered Surveyor Works,Quote,Quote,
10-01-01-10,Other Third Party Mandatory Requirements,Quote,Quote,
11,PROJECT LOADINGS (For Provisional Sum Items and NBN Co Specified Equipment),,,
11-01-01-01,"Contractor’s allowance for attendance, off-site overhead and profit on Provisional Sum Items only.
This item shall include all the Contractor’s costs associated with indirect costs or overheads and profit that are not included in any items the subject of a quotation. The allowance is to be expressed as a percentage of the total Provisional Sum Item costs
",%,10%,
45-01-01-23,Supply only Maxcell subduct EM 5621-3,Per metre,Quote,
45-01-01-24,Supply only Maxcell subduct EM 7126-3,Per metre,Quote,
,"Installation of fibre cable sheaths via riser shaft/cable tray - 
This rate includes the installation of fibre cables in a riser shaft/cable tray & the material required to secure cable",Per metre,$5.60,
,"Installation of fibre cable sheaths via ceiling space/floor cavity or crawl space  
This rate includes the installation of fibre cables in a ceiling space/floor cavity or crawl space & the material required to secure cable",Per metre,$5.60,
,"Installation of fibre cable sheaths via conduit
This rate includes the installation of fibre cable in a riser shaft/cable tray & the material required to secure cable",Per metre,$5.18,
,"Installation of cable tray in building where no suitable alternative exists, per metre",Per metre,$17.99,
,"Installation of wall mounted cable tray in building where no suitable alternative exists, per metre",Per metre,$18.96,
,"Installation of ceiling suspended tray where no suitable alternative exists, per metre",Per metre,$18.96,
,"Installation of caternary  wire system within ceiling space, per metre",Per metre,$18.96,
,"Supply and installation of 10x6mm ducting, includes installation of cable into duct.
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct.",Per metre,$18.73,
,"Supply and installation of 16x10mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$15.27,
,"Supply and installation of 16x16mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$17.77,
,"Supply and installation of 25x16mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$21.52,
,"Supply and installation of 25x25mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$24.23,
,"Supply and installation of 40x16mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$26.41,
,"Supply and installation of 40x25mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$31.46,
,"Supply and installation of 50x25mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$36.28,
,"Supply and installation of 50x50mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$46.89,
,"Supply and installation of 75x75mm ducting, includes installation of cable into duct
This rate includes the Installation of approved ducting, ducting accessories, screws &/or masonry plugs
Includes installation of cable/s into duct ",Per metre,$74.80,
,Installation of ICD to internal wall.  This rate is inclusive of screws &/or masonry plugs and standoff blocks required for installation. Includes installation cables. Not termination. ,Each,$35.37,
,Installation of PCD to external wall.  This rate is inclusive of screws &/or masonry plugs and standoff blocks required for installation. Includes installation only of cables. Not termination. ,Each,$33.17,
,Installation of  One Pass Fibre Pathway.  This rate is inclusive of the use of interior and exterior bends and other similar devices used in conjunction with the One Pass system. Includes any preparation work required prior to installation ,Per metre,$16.98,
,Installation of Multi-Fibre Horizontal Fibre in existing ducting system.,Per metre,$27.32,
,"Installation of ICD on One Pass Fibre Pathway, Includes the break out of one fibre and the  termination onto SC/APC connector via a FIC or fusion splice.  ",Each,$33.15,
,Break out of one fibre within a trunking system on a Multi-Fibre Horizontal Fibre and the  termination onto SC/APC connector via a FIC or fusion splice.  ,Each,$38.42,
,"Install FCD within riser or similar location on the same floor within 5 metres of riser, manage and secure FCD cable stub within riser, cable management applicable to the immediate floor, manage and connect up to 5 MPO FDT connector tails into FCD.",Each,$56.93,
,"Install FDT within riser or similar location on the same floor within 5 metres of riser, manage and secure FDT cable stub within riser, cable management applicable to the immediate floor, manage and connect up to 24 SC/APC connector tails into FDT. ",Each,$63.29,
,"Mount PDH on wall in communal area or similar inclusive of all fixtures and fittings required and manage FCD, FDT, and incoming HSD cables to PDH. Cable management trays covered in other rates.",Each,$76.02,
,"Install 1 x 72 fibre Distribution Cable into FDH, prepare cable, install onto trays and splice 2 x ribbons into PDH",Per 72 Fibre,$268.35,
,"Install 1 X 24 fibre  Cable (external or internal cable) into PDH, prepare cable and install onto trays ready for splicing",Per 24 Fibre,$154.76,
,"Install 1 x 12 fibre Cable (external or internal cable) into PDH, prepare cable and install onto trays ready for splicing",per 12 fibres,$95.21,
,"Install external CTL and secure to wall or similar, includes transitional conduit between LIC and CTL, and all hardware and mounting devices required.",Each,$45.43,
,"Install internal CTL and secure to wall or similar, includes cable management within termination space (riser cupboard or similar)  and all hardware and mounting devices required. Includes the management of all cables to the CTL.",Each,$40.52,
,"Install, secure, and seal, 3 X 12 Fibre MSS (tether) cables into CTL, connect MSS HMFOCs into the SC/APC Fan-out connectors.",Each,$75.78,
,"Install, secure, and seal, 2 X 12 Fibre MSS (tether) cables into CTL, connect MSS HMFOCs into the SC/APC Fan-out connectors.",Each,$52.06,
,"Install, secure, and seal, 1 X 12 Fibre MSS (tether) cables into CTL, connect MSS HMFOCs into the SC/APC Fan-out connectors.",Each,$26.72,
,"Install 1 x 72 fibre Local Cable into CTL, prepare cable, and install onto trays ",Each,$199.66,
,"Install 1 X 144 fibre Local Cable  into CTL, prepare cable and install onto trays ",Each,$290.83,
,"Install 1 x 72 fibre Premises Network internal cable (ribbon) into CTL, prepare cable and install onto splice trays.",Each,$195.57,
,"Install 1 x 24 fibre Premises Network internal cable (ribbon) into CTL, prepare cable and install onto splice trays.",Each,$149.59,
,"Install 1 x 12 fibre Premises Network internal cable (ribbon) into CTL, prepare cable and install onto splice trays.",Each,$96.01,
,"Terminate 900 or 250 micron fibre to FIC, per unit.",Per unit,$24.57,
,"Install One Pass Fiber Pathway Duct.  Includes termination at the distribution device & the internal/external PCD.  Rate includes all fittings required, corners bridges etc.  All requirements in regards to surface preparation, cleaning ready for mounting.  Installing cable in riser shafts, ceiling space & cavity is paid as an extra over ",Per metre,$23.74,
,"Install premises cable single fibre with either no connectors or SC/APC both ends between FDT  and either ICD or FWO. Rate applied per instance within a building structure up to 30 metres in either ceiling space, catenary wire, cable tray, riser space, or conduit.  ",Per metre,$4.55,
,"Installing premises cable single fibre, single fibre, in riser shafts, over 30 metres in either ceiling space, catenary wire, cable tray, riser space, or conduit.  ",Per metre,$4.26,
,"Prepare and install FWO within Premises, install single fibre cable into FWO, prepare and splice to 1 x pigtail, manage splice and cable in FWO.",Each,$37.30,
,"Prepare and install FWO within Premises, install single fibre cable into FWO, prepare and install FIC to fibre cable,  manage cable in FWO",Each,$33.88,
,MDU Construction Works,,,
,Supply and Install P20 Riser Pipe on Building,Per metre,$11.70,
,Supply and Install P50 Riser Pipe on Building,Per metre,$23.74,
,"Supply and Install vertical 50mm galvanised riser pipe on building, to include all fittings and bends required to extend the LIC from ground level to roof level on a single storey structure",Per metre,$97.67,
,"Supply and Install vertical 50mm galvanised riser pipe on building, to include all fittings and bends required to extend the LIC past the roof level on a single storey structure- Extra Over ",Per metre,$97.67,
,"Supply and Install horizontal 50mm galvanised riser pipe on building, to include all fittings and bends required to extend the LIC horizontally ",Per metre,$107.85,
,Provide Wall Penetration up to 20mm diameter,Each,$17.40,
,Provide Building External Wall Penetration up to 50mm diameter.,Each,$101.97,
,Provide Building External Wall Penetration up to 100mm diameter.,Each,$184.47,
,Provide internal wall penetration through firestop wall up to 20mm in diameter and installation of appropriate fire stopping method as required.,Each,$29.87,
,Provide internal wall penetration through firestop wall up to 50mm in diameter and installation of appropriate fire stopping method as required.,Each,$103.49,
,Provide internal wall penetration through firestop wall up to 100mm in diameter and installation of appropriate fire stopping method as required.,Each,$133.19,
,Provide internal wall penetration through concrete wall up to 20mm in diameter and installation of appropriate fire stopping method as required.,Each,$39.67,
,Provide internal wall penetration through concrete wall up to 50mm in diameter and installation of appropriate fire stopping method as required.,Each,$129.47,
,Provide internal wall penetration through concrete wall up to 100mm in diameter and installation of appropriate fire stopping method as required.,Each,$164.42,
,Provide internal floor penetration through concrete floor up to 20mm in diameter and installation of appropriate fire stopping method as required. To include sealing penetration after cable installation. ,Each,$56.03,
,Provide internal floor penetration through concrete floor up to 50mm in diameter and installation of appropriate fire stopping method as required. To include sealing penetration after cable installation. ,Each,$128.00,
,Provide internal floor penetration through concrete floor up to 100mm in diameter and installation of appropriate fire stopping method as required. To include sealing penetration after cable installation. ,Each,$179.37,
,Asbestos - Drilling into Asbestos wall,Each,$125.38,
,MDU Premises - Tin Roof Lifting for Lead In Cable,Per Sheet,$51.75,
51,PREMISES LEAD-INS ,,,
51-01,Aerial Lead-Ins,,,
51-01-01-07,"Installation of a cable (single or multi fibre) one span (between any two fixed points) from the Multiport to the Premises including installation of the PCD, termination in accordance with NBN Co Optical Network Performance and Parameters documents.  ",Each span,$385.25,
51-02,Underground Lead-Ins,,,
,Single dwelling unit lead-in connection survey,Per SDU premise,$97.87,
,"Installation only of a cable in existing pipe from the assigned Multiport to the premise connection device (PCD), installation of the PCD, including pipe & LIC proving and connection to the PCD & Multiport,  - up to 80m distance between PCD and Multiport",Per lead-in,$442.39,
,"Supply and installation of up to 20 metres of P20 PVC lead-in pipe using boring method from the nearest street network access point; including the installation of the PCD on the premise, installation of cable from the assigned Multiport to the PCD  up to 80m distance between PCD and Multiport, proving and connection to Multiport and fusion crimp splicing at the PCD. ",Per lead-in,$672.25,
51-02-02-07,"Extra Over to be used in conjunction with item 51-02-02-06. Supply and installation of P20 PVC lead-in pipe using boring method, for additional distances. ",Per metre,$39.04,
,"Supply and installation of up to 20 metres of P20 PVC lead-in pipe using any construction method (other than Directional Boring) from the nearest street network access point; including the installation of the PCD on the premise, installation of cable from the assigned Multiport to the PCD  up to 80m distance between PCD and Multiport, proving and connection to Multiport and fusion crimp splicing at the PCD. ",Per lead-in,$672.25,
51-02-02-09,"Extra Over to be used in conjunction with item 51-02-02-08. Supply and installation of P20 PVC lead-in pipe using trenching method, for additional distances.",Per metre,$39.04,
51-02-02-10,Extra Over to be used in conjunction with items 51-02-02-06 / 51-02-02-08. Breakout and reinstatement - Concrete,Per sqm,$281.92,
51-02-02-11,Extra Over to be used in conjunction with items 51-02-02-06 / 51-02-02-08. Breakout and reinstatement - Bitumen,Per sqm,$260.23,
51-02-02-12,Extra Over to be used in conjunction with items 51-02-02-06 / 51-02-02-08. Breakout and reinstatement - Pavers,Per sqm,$216.85,
51-02-02-13,Extra Over to be used in conjunction with items 51-02-02-06 / 51-02-02-08. Breakout and reinstatement - Pebblecrete,Per sqm,$314.45,
51-02-02-14,Supply and Installation of C1 pit at customer premise over existing lead-in for the purpose of routing the fibre drop cable to the PCD located on an outside wall location. (This rate can only applied where the existing LIC is inaccessible at the customer premise).,Each pit,$281.92,
51-02-04-01,Installation only of a direct buried cable from the assigned Multiport to the premise connection device (PCD); minimum charge for 50 metre run.,Per metre,Quote,
51-02-04-02,Supply and installation of up to 20 metres of P20 PVC lead-in pipe only using boring method from the nearest street network access point.,Per lead-in,$615.90,
51-02-04-03,"Extra Over to be used in conjunction with item 51-02-04-02. Supply and installation of P20 PVC lead-in pipe only using boring method, for additional distances.",Per metre,$39.04,
51-02-04-04,Supply and installation of up to 20 metres of P20 PVC lead-in pipe only using trenching method from the nearest street network access point.,Per lead-in,$555.72,
51-02-04-05,"Extra Over to be used in conjunction with item 51-02-04-04. Supply and installation of P20 PVC lead-in pipe only using trenching method, for additional distances.",Per metre,$39.04,
,Extra Over Items Rates,,,
51-02-02-25,Extra Over to be used in conjunction with Installation 51-02-01-07 to dig down and repair LIC to avoid deferring to new LIC installation.  Up to 30mins per repair and maximum of two per existing LIC.,Per Repair,$104.09,
51-02-02-16,"Allow for the installation of P20 (20OD) pipe in Rock (the supply and install of the P20 is covered by the following SORs. 

51-02-02-07:
For the purpose of excavation in rock, rock shall be defined as a material of volume greater than 0.75m3 and of such hardness (greater than 25MPa) that its excavation is beyond the practical capacity of power operated hand tools (e.g. jack hammer). For work continuation purposes, rock classification and extent shall be “approved” by NBN Co Representatives on the basis of geotechnical analysis by properly accredited organisations of sample material excavated along the trench alignment.

51-02-02-06:
For the purpose of drilling or boring in rock, rock shall be defined as a material of such hardness (greater than 25MPa) that a directional drill with 9,000kg push/pull and torque of 3000Nm cannot penetrate the material at a rate greater than 15 linear metres per hour. For work continuation purposes, rock classification and extent shall be “approved” by NBN Co Representatives on the basis that subsequent analysis of sample material encountered at locations identified by Contractor “bore logs” is supported by objective geotechnical analysis by properly accredited organisations.",Per Metre,$97.58,
51-02-02-26,Core Boring through perimeter path / retaining wall / structural wall  if required to effect connection of MPT to PCD. Only paid when the connection is completed on (or before) the appointment due date or is subject to a Dirty TOW payment.,Each,$173.48,
51-02-02-20,"Break in to asbestos pit using appropriate techniques and supply & install 300mm by 20mm conduit for use in connecting to the pit. Includes all OHS, asbestos handling and disposal requirements",Each,$433.72,
51-02-02-23,"Installation of lead-in from aerial network to underground at pole including the supply and installation of all fixtures and fitments including pole riser pipe and mower guard ie dress pole, (multiport to base of pole only).",Per Pole,$323.40,
51-01-01-08,Extra Over to be used in conjunction with item 51-01-01-07; Installation of a cable (single or multi fibre) one additional span (between any two fixed points).,Each span,$287.10,
51-01-02-01,Extra Over to be used in conjunction with item 51-01-01-07; Supply and install complete an aerial lead-in riser only to fascia less than 1m in height in conjunction with the aerial lead in (include extra over as applicable).,Each,$129.36,
51-02-02-30,Reinstatement of Artificial Turf,m2,Quote,
51-02-04-06,Supply and installation of up to 20 metres of P50 PVC lead-in pipe only using trenching method from the nearest street network access point.,each,"$1,350.00",
,Supply and installation of up to 20 metres of P100 PVC lead-in pipe only using trenching method from the nearest street network access point.,each,"$1,750.00",
,Underbores Setup fee,Each,$275.00,
,Installation of SDS Cable in existing P10 LIC,Each,$137.50,
,Aerial SDS Cable Bundling,Each,$319.02,
,Tree trim for Aerial Drop,Per hour,$344.37,
,CONNECTING DEVELOPER PIPE TO TELSTRA/NBN NETWORK,,,
,Connecting Developer PVC P20 to Telstra/NBN Network - up to 5m. Excluding surface breakout.,Each,$950.00,
,Connecting Developer PVC P50 to Telstra/NBN Network - up to 5m. Excluding surface breakout.,Each,"$1,350.00",
,Connecting Developer PVC P100 to Telstra/NBN Network - up to 5m. Excluding surface breakout.,Each,"$1,750.00",
52, PREMISES END ACTIVE EQUIPMENT ,,,
52-01-01-01,"Installation of internal NTU including all fixtures and fitments, power up, activate and test.",Each,$323.40,
52-01-02-01,"Installation of external NTU including all fixtures and fitments, power up, activate and test.",Each,$269.50,
52-01-03-01,Extra over 20 metres for fibre tail from PCD to wall entry.,Per m,$11.00,
52-01-03-02,Extra over 10 metres for 12v power cable to NTU.,Per m,$11.00,
,Copper SOR's,,,
,CCU - Cross Connect Units,,,
,CCU Jumpers - Provision of a new jumper,each,$16.50,
,Install New Quante IDS Terminal Unit 100 pair unit (900 Type CCU),each,$340.67,
,Install New Quante IDS Terminal Unit 200 pair unit (1800 Type CCU),each,$683.24,
,Install Spindle Ext Kit to Allow for Increase of Capacity New/old 900 pr CCU,each,$479.38,
,Install New 900 type CCU,each,"$4,022.14",
,Install New 1800 type CCU,each,"$4,447.77",
,Remove and recover a CCU,each,$192.20,
,Augmentation of existing CCU with Krone terminal units,each,$188.85,
,Supply and install kit mounting adaptor (430/141) to CCU with KRONE modules,each,$162.37,
,Install 100/200 pair cable into Quante CEU,each,$177.55,
,Perform Tests on cable pairs on which a Fault Status Check is requested,PER PAIR,$15.51,
,CCU Services transferred,PER SERVICE,$29.60,
,Exchange work items,,,
 ,MDF/BD/CD Cable Racking/Accommodation,per 100pair unit,$19.80,
,Supply & install cable support & troughing in accord with specifications,Supply Quote,Quote,
,Remove redundant jumpers,each,$3.85,
,MDF/CCU/BD Services transferred,PER SERVICE,$28.60,
,PCD  and EU Terminations,,,
,Cable Terminations on any IDS system,PER PAIR,$6.05,
,Installation of NBN Approved Copper PCD,Each,$33.00,
,Install 10 pr IDS modules to existing equipment,PER MODULE,$19.53,
,Install 10 pair module on new BD frame,PER MODULE,$32.00,
,"Insulation Displacement System (Krone, Quante & AMP Stack)",,,
,IDS 20 Joint Closure,each,$210.44,
,IDS 30/50 Joint Closure,each,$550.07,
,IDS 100 Joint Closure,each,$621.26,
,Aerial ,,,
,Recover pole mounted joint closure and all associated fittings from pole,each,$32.13,
,Install 50 mm riser/protective pipe,each,$128.26,
,Install Protective pipe for aerial lead-ins - joint closure to IBC termination point,each,$31.13,
,Repair 20/35/50 mm pipe from pit to joint on pole,each,$111.14,
,Install/Replace Mower Guard and associated fittings,each,$63.06,
,Banding Plant to Concrete Poles with SS Bands,Per Band,$31.83,
,Dexgreen Aerial Closure Kit (Large),each,$146.53,
,Dexgreen Aerial Closure Kit (Extra Large),each,$203.60,
,Insert additional cable to Egerton 31D Pole Mounted Joint Closure,each,$54.23,
,Supply and install Drop Wire Connector Box,per joint,$38.43,
,Recover cable - Single or Multiple Drop wires,per metre,$1.71,
,Aerial lead-in (2 or 10 pair) Cable installation greater than 50m,per metre,$2.48,
,Openable Joints,,,
,Joint non working cable pairs up to & including 200 Pr,PER PAIR,$2.75,
,Joint non working cable pairs 201 to 4800,PER PAIR,$2.02,
,Set up of non jointed cable pairs in joint closure,PER PAIR,$1.65,
,Insulate cable pairs as directed by the standard technical specifications,PER PAIR,$0.98,
,Joint working cable pairs up to & including 200 Pr,PER PAIR,$5.50,
,Joint working cable pairs 201 to 4800,PER PAIR,$4.08,
,Cable Pair Identification ,PER PAIR,$27.50,
