Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date
AYCA-48S696,2BLK-03,C.J.T. Pty Ltd - 1,Active,Supply Order Raised,34,FTTP – Type 2,NSW,Blacktown,3-7 Wallace St,2148,156711,B + E,5/4/19
AYCA-4BA1DQ,2SEF-01,Hillside - 1,Active,Supply Order Raised,24,FTTP – Type 2,NSW,Potts Hill,3 Rowe Drive,2143,158801,B + E,5/4/19
AYCA-5KIP6Y,2WLG-07,"45 Rosemont Street, West Wollongong NSW",Active,Supply Order Raised,4,FTTP – Type 2,NSW,West Wollongong,45 Rosemont Street,2500,187104,B + E,5/3/19
AYCA-5SX5PK,2CRO-23,"51-55 Burraneer Bay Road, Burraneer - 1",Active,Supply Order Raised,14,FTTP – Type 3 (MT-LFN),NSW,Burraneer,51-55 Burraneer Bay Road,2230,192514,B + E,5/1/19
AYCA-2L9FVY,2HOR-02,Hornsby - 1,Active,Supply Order Raised,111,FTTP – Type 2,NSW,Hornsby,117-119 Pacific Hwy,2077,175977,B + E,4/30/19
AYCA-3S7B4B,2HMK-02,BUILDING 2 (CB02) - 1,Active,Supply Order Raised,12,FTTP – Type 2,NSW,Ultimo,"University of Technology Sydney Building 1 15 Broadway,",2007,183941,B + E,4/30/19
AYCA-4LT337,2WET-23,457-463 Victoria street - 1,Active,Supply Order Raised,32,FTTP – Type 3 (MT-LFN),NSW,Wetherill Park,457-463 Victoria Street,2164,174364,B + E,4/30/19
AYCA-4QDZCA,2STL-61,The Hume - 1,Active,Supply Order Raised,39,FTTP – Type 2,NSW,Crows Nest,31-33 Albany St,2065,174992,B + E,4/30/19
AYCA-3O2CEB,2GBE-62,Cowper Street Apartments - 1,Active,Supply Order Raised,98,FTTP – Type 2,NSW,Glebe,5 Elger St,2037,165101,B + E,4/26/19
AYCA-58PGFK,2MSV-03,4 NEW FREESTANDING VILLAS - 25 Ascot Rd,Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Bowral,25 Ascot Rd,2576,184634,B + E,4/26/19
AYCA-5OO3VM,2WLG-01,"2 Victoria Street, Wollongong - 2",Active,Supply Order Raised,5,FTTP – Type 2,NSW,Wollongong,2 Victoria Street,2500,190382,B + E,4/16/19
AYCA-57JCRY,2GRA-63,Maria's - 1,Active,Supply Order Raised,22,FTTP – Type 2,NSW,Granville,"27a, 31, 33 & 35 Louis Street",2142,192892,B + E,4/15/19
AYCA-4H9191,2COR-03,208-210 Princes Highway - 1,Active,Supply Order Raised,7,FTTP – Type 2,NSW,Bulli,208-210 Princes Highway,2516,162471,B + E,4/12/19
AYCA-21PVTM,2BLK-03,One Seven - 1,Active,Supply Order Raised,146,FTTP – Type 2,NSW,Blacktown,5 Second Avenue,2148,162095,B + E,4/6/19
AYCA-4H8EZO,2HUH-22,117 VICTORIA ROAD - 1,Active,Supply Order Raised,29,FTTP – Type 2,NSW,Gladesville,117-123 Victoria Rd,2111,178782,B + E,4/5/19
AYCA-4OCM1V,2UND-60,"260-264 Wardell Rd, Marrickville - 1",Active,Supply Order Raised,26,FTTP – Type 2,NSW,Marrickville,260-264 Wardell Rd,2204,169909,B + E,4/5/19
AYCA-5HNMQ4,2CRO-26,"2 - 4 Marlo Road, Cronulla - 1",Active,Supply Order Raised,10,FTTP – Type 3 (MT-LFN),NSW,Cronulla,2 - 4 Marlo Road,2230,186195,B + E,4/5/19
AYCA-5M5JQ0,2HUH-21,"23A Mars Road, Lane Cove West - 1",Active,Supply Order Raised,24,FTTP – Type 2,NSW,Lane Cove West,23A Mars Road,2066,189817,B + E,4/5/19
AYCA-5NXLZB,2TGL-02,"158 Terrigal Drive, Terrigal - 1",Active,Supply Order Raised,67,FTTP – Type 2,NSW,Terrigal,158 Terrigal Drive,2260,190322,B + E,4/5/19
AYCA-2QFUTJ,2NRL-20,Camden Day Hospital - 1,Active,Supply Order Raised,5,FTTN,NSW,Elderslie,37 Hilder St,2570,156078,B + E,4/1/19
AYCA-328OYF,2CBT-05,Aspire Apartments - 1,Active,Supply Order Raised,73,FTTP – Type 2,NSW,Campbelltown,37-41 Chamberlain St,2560,165436,B + E,4/1/19
AYCA-4JW63S,2CRO-21,Dingle Apartment - 1,Active,Supply Order Raised,34,FTTP – Type 2,NSW,Cronulla,25-29 Tonkin St,2230,167015,B + E,4/1/19
AYCA-4LZWVS,2PNN-63,Zantia - 1,Active,Supply Order Raised,65,FTTP – Type 2,NSW,Thornleigh,266-268 Pennant Hills Rd,2120,177796,B + E,4/1/19
AYCA-3E5O97,2ROU-03,Hancy - 1,Active,Supply Order Raised,47,FTTP – Type 2,NSW,Kellyville,85-89 Samantha Riley Dr,2155,162040,B + E,3/31/19
AYCA-2V9V2D,2HOR-63,Cowan Road Residential Development - 1,Active,Supply Order Raised,50,FTTP – Type 2,NSW,Mount Colah,2 Cowan Road & 540A-542 Pacific Highway,2079,157215,B + E,3/29/19
AYCA-4DW3WX,2HOR-62,"18-22 Lords Avenue, Asquith - 1",Active,Supply Order Raised,98,FTTP – Type 2,NSW,Asquith,18-22 Lords Ave + 421-425 Pacific Hwy,2077,160203,B + E,3/29/19
AYCA-4UF84M,2LIV-04,Spectra Residence - 1,Active,Supply Order Raised,41,FTTP – Type 2,NSW,Liverpool,52 Copeland Street,2170,172867,B + E,3/29/19
AYCA-5M84RG,2CFS-02,"72 Boultwood Street, Coffs Harbour - 1",Active,Supply Order Raised,7,FTTP – Type 2,NSW,Coffs Harbour,72 Boultwood Street,2450,189188,B + E,3/29/19
AYCA-55JR8W,2NEW-21,"228 King Street, Newtown - 1",Active,Supply Order Raised,9,FTTP – Type 3 (MT-LFN),NSW,Newtown,228 King St,2042,185177,B + E,3/25/19
AYCA-42HX6R,2BON-61,Bondi Central - 1,Active,Supply Order Raised,126,FTTP – Type 2,NSW,Bondi Junction,34-42 Spring St,2022,166951,B + E,3/23/19
AYCA-47OO3O,2LIV-03,188-190 Moore St Liverpool - 1,Active,Supply Order Raised,25,FTTP – Type 2,NSW,Liverpool,188-190 Moore St,2170,158978,B + E,3/23/19
AYCA-578FAA,2NSY-02,"229 MILLER STREET, NORTH SYDNEY NSW 2060",Active,Supply Order Raised,109,FTTP – Type 2,NSW,North Sydney,229 Miller Street,2060,184960,B + E,3/23/19
AYCA-2I98H3,2PAR-61,Hassall View Pty Ltd - 1,Active,Supply Order Raised,153,FTTP – Type 2,NSW,Harris Park,113-117A Wigram St 23-29 Hassall St,2150,162098,B + E,3/22/19
AYCA-4PRYRR,2PAR-63,"161-163 Great Western Hwy, Mays Hill - 1",Active,Supply Order Raised,22,FTTP – Type 2,NSW,Mays Hill,161-163 Great Western Hwy,2145,186986,B + E,3/22/19
AYCA-5I8I8D,2PNN-63,"27-31 Thornleigh Street, Thornleigh - 1",Active,Supply Order Raised,32,FTTP – Type 2,NSW,Thornleigh,27-31 Thornleigh Street,2120,186277,B + E,3/22/19
AYCA-5N4NUW,2HBD-23,"36 Wyndora Avenue, Freshwater NSW 2096,",Active,Supply Order Raised,15,FTTP – Type 2,NSW,Freshwater,36 Wyndora Avenue,2096,189737,B + E,3/22/19
AYCA-4YHOA0,2PAR-63,8 Robilliard St - 1,Active,Supply Order Raised,39,FTTP – Type 2,NSW,Mays Hill,8-12 Robilliard St,2145,183393,B + E,3/16/19
AYCA-4C0Z5Y,2ROS-66,Hamptons - Rose Bay - 1,Active,Supply Order Raised,30,FTTP – Type 3 (MT-LFN),NSW,Rose Bay,554-564 Old South Head Rd,2029,161934,B + E,3/15/19
AYCA-5UQX4I,2HUH-20,"29 Moorefield Avenue, Hunters Hill NSW 2",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Hunters Hill,29 Moorefield Avenue,2110,193551,B + E,3/11/19
AYCA-42N8QF,2PEN-67,Macklin 38 - 1,Active,Supply Order Raised,16,FTTP – Type 2,NSW,Pendle Hill,38-40 Macklin Street,2145,161792,B + E,3/8/19
AYCA-4L1IJG,2SWR-20,19 Gregory Street - 1,Active,Supply Order Raised,12,FTTP – Type 2,NSW,South West Rocks,19 Gregory St,2431,166953,A + E,3/8/19
AYCA-54N6L7,2PAR-60,Westmead - 1,Active,Supply Order Raised,30,FTTP – Type 2,NSW,Westmead,104-108 Bridge Rd,2145,192206,B + E,3/8/19
AYCA-5FILA6,2BOW-20,"12 Marsden Street, Boorowa - 0",Active,Supply Order Raised,2,FTTN,NSW,Boorowa,12 Marsden Street,2586,185210,B + E,3/8/19
AYCA-40TCKL,2NSY-02,"The Miller, North Sydney - 1",Active,Supply Order Raised,180,FTTP – Type 2,NSW,North Sydney,221 Miller St,2060,159347,B + E,3/4/19
AYCA-3GG3CO,2MIR-31,Dianella St - 1,Active,Supply Order Raised,64,FTTP – Type 2,NSW,Caringbah,1-13 Dianella St,2229,190218,B + E,3/2/19
AYCA-4ULUDH,2MIR-26,"5-7 Higherdale Ave., Miranda - 1",Active,Supply Order Raised,38,FTTP – Type 2,NSW,Miranda,5-7 Higherdale Ave,2228,191983,B + E,3/2/19
AYCA-43APKG,2HOM-20,A & G Formworkers ( Australia) Pty Ltd -,Active,Supply Order Raised,1,FTTP – Type 3 (MT-LFN),NSW,Strathfield South,6-14 Cosgrove Road,2136,164826,B + E,3/1/19
AYCA-5JIMDQ,2DBB-02,"166 Brisbane Street, Dubbo - 1",Active,Supply Order Raised,6,FTTP – Type 2,NSW,Dubbo,166 Brisbane Street,2830,192244,B + E,3/1/19
AYCA-1SQ3K5,2PAR-01,189 Macquarie Street - SP1,Active,Supply Order Raised,21,FTTP – Type 2,NSW,Parramatta,189 Macquarie Street,2150,156064,B + E,2/28/19
AYCA-3JJIX9,2MIR-28,Pinnacle - 1,Active,Supply Order Raised,137,FTTP – Type 2,NSW,Miranda,13-21 Univerity Rd & 1-5 Pinnacle St,2228,154312,B + E,2/28/19
AYCA-48OYT0,2EDG-65,"240 New South Head Road, Edgecliff NSW -",Active,Supply Order Raised,22,FTTP – Type 2,NSW,Edgecliff,240 New South Head Rd,2027,161415,B + E,2/28/19
AYCA-4DBFGM,2NEW-20,"87 Parramatta Road, Camperdown - 1",Active,Supply Order Raised,19,FTTP – Type 2,NSW,Camperdown,87 Parramatta Rd,2050,164021,B + E,2/28/19
AYCA-4NNOGX,2PTH-02,240-250 Great Western Highway - 1,Active,Supply Order Raised,122,FTTP – Type 2,NSW,Kingswood,240-250 Great Western Hwy,2747,165991,B + E,2/28/19
AYCA-4UE5JN,2LID-03,Auburn 46-48 Beaumont St - 1,Active,Supply Order Raised,8,FTTP – Type 2,NSW,Auburn,46-48 Beaumont Street,2144,172204,B + E,2/28/19
AYCA-4XR9F8,2ROU-02,North West Business Centre - 1,Active,Supply Order Raised,23,FTTP – Type 3 (MT-LFN),NSW,Rouse Hill,320 Annangrove Rd,2155,181574,B + E,2/28/19
AYCA-55XM3V,2HBD-20,Venus Apartments - 1,Active,Supply Order Raised,20,FTTP – Type 2,NSW,Brookvale,10-12 Roger St,2100,184254,B + E,2/28/19
AYCA-5BOGUQ,2PYM-61,"6 Womerah St, Turramurra - 1",Active,Supply Order Raised,18,FTTP – Type 2,NSW,Turramurra,2-6 Womerah St,2074,184657,B + E,2/28/19
AYCA-5DHKDD,2CRO-22,"36 Rawson Parade, Caringbah South NSW 22",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Caringbah South,36 Rawson Parade,2229,184668,B + E,2/28/19
AYCA-5LC14Q,2NSY-21,"100 Mount Street, North Sydney - 1",Active,Supply Order Raised,39,FTTP – Type 2,NSW,North Sydney,100 Mount Street,2060,190430,B + E,2/28/19
AYCA-2LCFXK,2BUR-65,Skyview - 1,Active,Supply Order Raised,21,FTTP – Type 2,NSW,Enfield,248-252 Liverpool Rd,2136,189317,B + E,2/22/19
