Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-01,Removal and disposal of small (P2) ACM Pit,Each ACM Pit, $	400.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-02,Removal and disposal of medium (P4 or P5) ACM Pit,Each ACM Pit, $	525.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-03,Removal and disposal of large (P6 or P8) ACM Pit,Each ACM Pit, $	720.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-04,Removal and disposal of extra large (P9) ACM Pit,Each ACM Pit, $	950.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-05,Remove and dispose of existing ACM duct (all sizes) up to 3m in length,Each location, $	165.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-06,Double (2x) ACM Knock-in (lead-in & knock-in),"per pit (2 x knock-
in)", $	150.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-07,Single (1x) ACM Knock-in (lead-in & knock-in),"per pit (1 x knock-
in)", $	80.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-08,Removal of ACM waste material from existing small or medium pit- cleanout only,Each Location, $	120.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-03-09,Removal of ACM waste material from existing large/ extra large pit- cleanout only,Each Location, $	190.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-04-01,Remove and dispose of a single lid plastic pit,Each Pit, $	95.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-04-02,Remove and dispose of a double lid plastic pit,Each Pit, $	175.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-02-04-03,Remove and dispose of a three lid plastic pit,Each Pit, $	230.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-03-01-01,Core bore concrete – 50mm diameter hole,Each core bore, $	117.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-03-01-02,Core bore concrete – 100mm diameter hole,Each core bore, $	141.10 
Broadspectrum,Broadspectrum - DCSA,ON-CW-03-01-03,Core bore concrete – 150mm diameter hole,Each core bore, $	160.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-04-01-01,Installation only of single cable by direct buried techniques by any means,Per linear metre, $	9.10 
Broadspectrum,Broadspectrum - DCSA,ON-CW-04-02-01,Extra over for the installation of a single cable by direct buried techniques in Rock,Per linear metre, $	55.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-04-03-01,Supply and install marker posts for buried underground cable,Per marker post, $	38.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-01,Identify and repair a single pipe at a single blockage location less than 1200mm deep and up to 2m in length.,Per Single Pipe Blockage, $	330.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-01a,Identify and repair two pipes at a single blockage location less than 1200mm deep and up to 2m in length.,Per Double Pipe Blockage, $	205.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-01b,Identify and repair three pipes at a single blockage location less than 1200mm deep and up to 2m in length.,Per Triple Pipe Blockage, $	250.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-01c,Identify and repair four pipes at a single blockage location less than 1200mm deep and up to 2m in length.,Per Four Pipe Blockage, $	285.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-05,Clear pipe blockage using high pressure water,Per blockage cleared, $	120.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-06,"Failed attempt to clear pipe blockage using high pressure
water",Duct Per Length, $	65.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-05-01-07,Locate buried manholes/pits,Each Location, $	43.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-01-01,Breakout of surface materials in concrete (reinforced or unreinforced) up to 150mm thick,Per Square Metre, $	69.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-01-02,Breakout of surface materials in bitumen or asphalt pavement up to 150mm thick,Per Square Metre, $	56.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-01-03,Breakout of surface materials in bricks and pavers on compacted sand or base course layer,Per Square Metre, $	56.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-01-04,Breakout paving material in CBD areas,Per linear metre, $	98.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-01,Permanent Reinstatement of surface materials in concrete (reinforced or unreinforced) up to 150mm thick,Per Square Metre, $	129.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-02,Permanent Reinstatement of surface materials in bitumen or asphalt pavement up to 150mm thick,Per Square Metre, $	100.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-03,Permanent Reinstatement of surface materials in bricks and pavers on compacted sand or base course layer,Per Square Metre, $	65.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-03a,Reinstate paving material in CBD areas,Per linear metre, $	125.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-04,Concrete encase conduit,Per Linear Metre, $	35.00 
Broadspectrum,Broadspectrum - DCSA,ON-CW-06-02-05,Temporaray Reinstatement,Per Square Metre, $	20.69 
Broadspectrum,Broadspectrum - DCSA,ON-DT-01-01-01,Dirty Ticket of Works,Per DTOW, $	124.29 
Broadspectrum,Broadspectrum - DCSA,ON-EA-01-01-01,Copper performance line testing,Per cable pair, $	21.50 
Broadspectrum,Broadspectrum - DCSA,ON-EA-01-01-02,Line Testing Vacant Pairs,Per cable pair, $	10.65 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-01-01,Installation and preparation of a new fibre joint enclosure greater than 144 fibres,Per fibre joint enclosure, $	203.16 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-01-02,Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,Per fibre joint enclosure, $	172.65 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-01-03,Installation and preparation of a fibre joint enclosure up to and including 12 fibres,Per fibre joint enclosure, $	154.79 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-01-04,Installation and preparation of Gator fibre joint enclosure ,Per Gator fibre joint enclosure, $	85.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-01,Prepare a fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,Per cable sheath, $	143.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-02,Prepare a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,Per cable sheath, $	121.70 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-03,Prepare a 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath, $	48.95 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-04,Prepare Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath, $	32.36 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-06a,Prepare a loose tube fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,Per cable sheath, $	276.64 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-06b,Prepare a loose tube fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,Per cable sheath, $	215.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-06c,Prepare a loose tube 12 fibre cable to be connected to fibre joint enclosures,Per cable sheath, $	65.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-06d,Prepare a loose tube Single fibre cable sheath to be connected to fibre joint enclosures,Per cable sheath, $	35.75 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10,"Prepare 144 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	71.96 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10a,"Prepare 192 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	94.94 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10b,"Prepare 432 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	167.20 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10c,"Prepare 576 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	217.53 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10d,"Prepare 12 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	42.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10e,"Prepare 72 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	56.12 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10f,"Prepare 288 fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	121.06 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-10g,"Prepare single fibre ribbon cable for joint enclosure (includes cable layup, sheath preparation and fibre lay up in joint enclosure)",Per Sheath Into or Out of Joint, $	42.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-02-11,Lay up of cable sheaths,Per cable sheath, $	27.99 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-03-01,Re-entry into a fibre joint enclosure,Per fibre joint enclosure, $	57.80 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-01,Installation of splitter within existing FDH / PDH cabinet,Per splitter, $	23.80 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-02,Installation of splitter within an existing BJL enclosure,Per splitter, $	35.70 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-03,Installation of splitter within an existing FJL enclosure,Per splitter, $	37.93 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-04,Installation of a splitter card output fibres to LFN ports within and existing FDH cabinet,Per Fibre, $	8.84 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-05,Installation of a Fibre TV Splitter (TVS) within an FDH Cabinet,Per device, $	26.50 
Broadspectrum,Broadspectrum - DCSA,ON-FB-01-04-06,Installation of a Fibre TV Splitter within a PDH enclosure,Per device, $	25.75 
Broadspectrum,Broadspectrum - DCSA,ON-FB-02-01-01,Installation of multiport or splitter multiport in underground pit or manhole,Per multiport, $	24.30 
Broadspectrum,Broadspectrum - DCSA,ON-FB-02-01-02,Installation of multiport or splitter multiport on any pole,Per multiport, $	78.03 
Broadspectrum,Broadspectrum - DCSA,ON-FB-02-01-03,Replacement or Upgrade of existing splitter multiport in underground pit or manhole,Per multiport, $	35.65 
Broadspectrum,Broadspectrum - DCSA,ON-FB-02-01-04,Replacement or Upgrade of existing splitter multiport on any pole,Per multiport, $	92.15 
Broadspectrum,Broadspectrum - DCSA,ON-FB-03-01-01,Splicing of optic fibre ribbons,Per Ribbon Splice, $	13.10 
Broadspectrum,Broadspectrum - DCSA,ON-FB-03-01-02,Splicing of single fibre,Per Fibre Splice, $	13.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-03-01-03,Splicing of loose tube fibre,Per Fibre Splice, $	9.20 
Broadspectrum,Broadspectrum - DCSA,ON-FB-03-01-04,De ribbonise 12 fibre ribbon,Per ribbon, $	15.81 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-01,Uni-directional OTDR Testing to the first fibre tested,Per fibre, $	28.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-02,Extra over for additional Uni-directional OTDR Testing,Per fibre, $	21.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-03,Point to point DFL OTDR test to the first fibre tested,Per fibre, $	27.15 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-04,Extra over for additional Point to point DFL OTDR test,Per fibre, $	14.50 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-05,Insertion loss testing to the first fibre tested,Per fibre, $	24.68 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-06,Extra over for additional Insertion loss testing,Per fibre, $	14.55 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-07,Extra over rate for LFN / MTLFN insertion loss testing to the PCD  ,Per fibre, $	13.09 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-08,PON Power Meter Test,Per fibre, $	14.05 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-09,End to end connectivity testing to the GPON NTD at customer premises,Per fibre, $	25.50 
Broadspectrum,Broadspectrum - DCSA,ON-FB-04-02-10,End to end connectivity testing to SASK NTD at customer premises,Per fibre, $	33.15 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-02-01,Installation of a 12/24 way fibre patch panel within a customer premise environment,Per patch panel, $	255.85 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-02-04,Installation of a 24 way HDODF patch panel within an existing HDODF or equivalent environments,Per patch panel, $	189.07 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-02-05,Installation of a 72 way HDODF patch panel within an existing HDODF or equivalent environments,Per patch panel, $	157.59 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-02-06,Installation of a 144 way HDODF patch panel within a HDODF or equivalent environment,Per patch panel, $	238.55 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-01,Prepare and splice of a 12 fibre sheath within a customer premises environment,Per cable sheath, $	86.70 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-02,Prepare and splice of a single fibre in a PIC cable,Per Fibre, $	22.62 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-03,Supply and install patching cable within a HDODF or equivalent environment,Per patching cable, $	25.50 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-06,Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,Per cable sheath," $	1,411.00 "
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-07,Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,Per cable sheath, $	950.00 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-08,Installation of an inline optical attenuator in conjunction with HDODF patching works,Per optical attenuator, $	16.10 
Broadspectrum,Broadspectrum - DCSA,ON-FB-05-03-09,Installation of an inline optical attenuator within the HDODF cabinet or equivalent rack environments as part of line balancing works for an FTTC DPU,Per optical attenuator, $	18.55 
Broadspectrum,Broadspectrum - DCSA,ON-FB-06-01-01,Removal of existing fibre joint enclosure,Per fibre joint enclosure, $	92.80 
Broadspectrum,Broadspectrum - DCSA,ON-FC-01-01-01,Installation and commissioning of a non-aerial DPU terminal device ,Per DPU, $	75.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-01-01-02,Installation and commissioning of an aerial DPU terminal device ,Per DPU, $	90.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-01-01-03,Installation and commissioning of a wall mounted DPU terminal device ,Per DPU, $	73.50 
Broadspectrum,Broadspectrum - DCSA,ON-FC-01-01-12,Removal of existing DPU,Per DPU, $	37.97 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-01-05,Supply and installation of a DPU copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,Per DPU copper lead extension, $	97.17 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-01-06,Supply and installation of DPU copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure ,Per DPU copper lead extension, $	60.50 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-01-07,Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,Per DPU copper lead extension, $	55.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-01-12,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,Per DPU copper lead high twist extension, $	108.27 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-01-13,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure,Per DPU copper lead high twist extension, $	72.65 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-02-01,Jointing of an aerial copper drop sheath to aerial DPU copper lead in a new or existing openable joint enclosure,Per aerial DPU copper lead jointed , $	49.91 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-02-02,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure ,Per DPU copper lead high twist extension, $	108.94 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-02-03,Removal of an existing terminal box joint enclosure or existing openable joint and installation of a new replacement openable joint enclosure,Per replaced enclosure, $	155.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-02-04,Installation of a copper tie cable for interconnection between two new or existing openable joint enclosures or terminal box joint enclosures ,Per copper tie cable, $	118.25 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-01,Installation of a new non-aerial openable joint enclosure,Per new non-aerial openable joint enclosure, $	92.64 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-02,Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,Per DPU copper lead jointed , $	25.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-03,Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,Per DPU copper lead jointed , $	31.00 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-04,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,Per DPU copper lead high twist extension, $	72.36 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-05,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial openable joint enclosure,Per DPU copper lead high twist extension, $	73.10 
Broadspectrum,Broadspectrum - DCSA,ON-FC-02-03-06,Extra over for the Installation of a 2 pair copper cut-in loop to existing lead sheath copper lead-in,Per 2pair loop, $	44.16 
Broadspectrum,Broadspectrum - DCSA,ON-FC-03-01-01,Existing copper drop sheath validation,Per existing copper drop sheath validated, $	33.33 
Broadspectrum,Broadspectrum - DCSA,ON-FC-03-01-02,Existing Copper drop sheath validation for Serviceability for Missed Lead-ins,Per existing copper drop sheath validated, $	40.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-01,Installation of aerial bridger amplifier in new network,Per bridger amplifier, $	254.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-02,Installation of aerial bridger amplifier in existing network,Per bridger amplifier, $	285.51 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-03,Installation of aerial line-extender amplifier in new network ,Per line-extender amplifier, $	202.28 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-04,Installation of aerial line-extender amplifier to existing network ,Per line-extender amplifier, $	233.30 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-05,"Installation of aerial directional coupler, network splitter, line equaliser or line power inserter in new network",Per coupler or network splitter or line power inserter, $	145.47 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-06,"Installation of aerial mounted directional coupler, network splitter, line equaliser or line power inserter in existing network",Per coupler or network splitter or line power inserter, $	173.42 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-07,Installation of aerial line power supply in new network,Per line power supply, $	442.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-08,Installation of aerial line power supply in existing network,Per line power supply, $	467.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-09,Installation of pedestal mounted line power supply in new network,Per line power supply, $	165.18 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-10,Installation of pedestal mounted line power supply in existing network,Per line power supply, $	165.18 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-11,Installation of aerial tap in new network,Per tap , $	80.66 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-12,Installation of aerial tap in existing network,Per tap , $	136.15 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-13,Installation of aerial mounted power blocker in existing network,per device , $	117.57 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-14,Installation of aerial RF splice in existing network,Per Splice, $	134.77 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-15,Installation of an earth to an existing aerial active device where no earth has been provided or is unserviceable,Per device , $	115.21 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-01-16,Installation of tie-cabling from PCD to wall plate,Per wall plate, $	63.25 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-02-04,Replacement of aerial tap face plate in the existing network,Per face plate, $	61.29 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-02-05,Replacement of existing PCD with a lock box ,Per PCD, $	36.14 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-01,Removal of aerial bridger amplifier or aerial line extender amplifier in existing network,Per device , $	96.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-02,Removal of aerial coupler or aerial network splitter in existing network,Per device , $	96.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-03,Removal of aerial tap in existing network,Per tap, $	61.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-04,Removal of aerial terminator in existing network,Per terminator, $	71.10 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-05,Removal of aerial power blocker in existing network,per device , $	117.62 
Broadspectrum,Broadspectrum - DCSA,ON-HF-01-03-06,"Removal of existing aerial line power supply, line power inserter and pedestal housing in existing network",Per pedestal housing, $	539.44 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-01,Installation of non-aerial bridger amplifier in new network,Per bridge amplifier, $	102.81 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-02,Installation of non-aerial bridger amplifier in existing network,Per bridge amplifier, $	144.86 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-03,Installation of non-aerial line-extender amplifier in new network ,Per line-extender amplifier, $	84.72 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-04,Installation of non-aerial line-extender amplifier to existing network ,Per line-extender amplifier, $	116.77 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-05,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in new network",Per coupler or network splitter or line power inserter, $	67.83 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-06,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in existing network",Per coupler or network splitter or line power inserter, $	79.88 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-07,Installation of non-aerial mounted tap in new network,Per tap , $	55.22 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-08,Installation of non-aerial tap in existing network,Per tap , $	80.66 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-09,Supply and install optical patch cable within HDODF,Per patch cable, $	50.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-10,Supply and Installation of pedestal,Per pedestal , $	550.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-11,Installation of non-aerial power blocker in existing network,per device , $	57.80 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-12,Installation of non-aerial RF splice in existing network,Per Splice, $	46.68 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-13,Installation of power blocker in conjunction with the installation of a new device in either aerial or non-aerial environment in new network,per device , $	35.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-01-14,Installation of an earth to an existing non aerial active device where no earth has been provided ,Per device , $	136.65 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-02-03,Replacement of non-aerial tap face plate in the existing network,Per face plate, $	42.78 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-02-04,Installation of an earth to an existing non aerial active device where the existing earth is unserviceable,Per earth, $	133.45 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-01,Removal of non-aerial bridger amplifier or non-aerial line extender amplifier in existing network,Per non-aerial bridger amplifier or non-aerial line extender amplifier device , $	55.96 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-02,Removal of non-aerial coupler or non-aerial network splitter in existing network,Per device , $	21.90 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-03,Removal of non-aerial tap in existing network,Per tap, $	29.38 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-04,Removal of non-aerial terminator in existing network,Per terminator, $	30.42 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-05,Removal of non aerial power blocker in existing network,per device , $	36.14 
Broadspectrum,Broadspectrum - DCSA,ON-HF-02-03-06,"Removal of existing  line power supply, line power inserter and pedestal housing in existing network",Per pedestal housing, $	539.44 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-01-01,Proof of performance testing,per device , $	55.00 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-01-02,Return path noise testing of an optical node in the existing network,Per optical node, $	89.17 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-02-01,Alignment of aerial HFC active equipment,Per HFC active equipment, $	155.80 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-02-02,Alignment of non-aerial HFC active equipment,Per HFC active equipment, $	98.50 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-02-04,Reconfigure output of aerial directional coupler or aerial network splitter in an existing network,per device , $	121.65 
Broadspectrum,Broadspectrum - DCSA,ON-HF-03-02-05,Reconfigure output non-aerial directional coupler or network splitter in existing network,per device , $	70.79 
Broadspectrum,Broadspectrum - DCSA,ON-HF-04-01-01,Earthing of catenary wire,Per earth, $	145.00 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-01,Supply & Installation of catenary wire system in buildings,Per linear metre, $	10.00 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-01-AH,Supply & Installation of catenary wire system in buildings outside working hours,Per linear metre, $	18.50 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-02,Supply & Installation of cable tray in buildings,Per linear metre, $	45.95 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-02-AH,Supply & Installation of cable tray in buildings outside working hours,Per linear metre, $	77.25 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-03,Supply and installation of ducting <30mm width ,Per linear metre, $	15.00 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-03-AH,Supply and installation of ducting <30mm width outside working hours,Per linear metre, $	22.65 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-04,Supply and installation of ducting >30mm width ,Per linear metre, $	24.20 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-04-AH,Supply and installation of ducting >30mm width outside working hours,Per linear metre, $	34.75 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-05,Supply and installation of conduit,Per linear metre, $	12.00 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-05-AH,Supply and installation of conduit outside working hours,Per linear metre, $	19.00 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-06,Installation of One Pass Fibre Pathway in buildings,Per linear metre, $	15.52 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-06-AH,Installation of One Pass Fibre Pathway in buildings outside working hours,Per linear metre, $	27.52 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-07,Connecting One Pass Fibre Pathway to ICD or PCD ,Each ICD or PCD, $	19.92 
Broadspectrum,Broadspectrum - DCSA,ON-MD-01-01-07-AH,Connecting One Pass Fibre Pathway to ICD or PCD outside working hours,Each ICD or PCD, $	34.62 
