Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Procab,Procab - MWA,PD-02-02-01,Pre-Work Order release survey ,Per Work Order, $	448.50 ,Pre-Work Order release survey ,45151,
Procab,Procab - MWA,FB-04-02-10,End to end connectivity testing to SASK NTD at customer premises,Per fibre, $	27.60 ,End to end connectivity testing to SASK NTD at customer premises,45151,
Procab,Procab - MWA,FB-05-02-01,Installation of a 12/24 way fibre patch panel within a customer premise environment,Per patch panel, $	110.40 ,Installation of a 12/24 way fibre patch panel within a customer premise environment,45151,
Procab,Procab - MWA,FB-05-02-04,Installation of a 24 way HDODF patch panel within a HDODF or equivalent environment,Per patch panel, $	120.75 ,Installation of a 24 way HDODF patch panel within a HDODF or equivalent environment,45151,
Procab,Procab - MWA,FB-05-02-05,Installation of a 72 way HDODF patch panel within a HDODF or equivalent environment,Per patch panel, $	138.00 ,Installation of a 72 way HDODF patch panel within a HDODF or equivalent environment,45151,
Procab,Procab - MWA,FB-05-02-06,Installation of a 144 way HDODF patch panel within a HDODF or equivalent environment,Per patch panel, $	293.25 ,Installation of a 144 way HDODF patch panel within a HDODF or equivalent environment,45151,
Procab,Procab - MWA,FB-05-03-01,Prepare and splice of a 12 fibre sheath within a customer premises environment,Per cable sheath, $	113.85 ,Prepare and splice of a 12 fibre sheath within a customer premises environment,45151,
Procab,Procab - MWA,FB-05-03-02,Prepare and splice of a single fibre in a PIC cable,Per Fibre, $	31.05 ,Prepare and splice of a single fibre in a PIC cable,45151,
Procab,Procab - MWA,FB-05-03-03,Supply and install patching cable within a HDODF or equivalent environment,Per patching cable, $	38.64 ,Supply and install patching cable within a HDODF or equivalent environment,45151,
Procab,Procab - MWA,FB-05-03-06,Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,Per cable sheath, $	814.20 ,Prepare and splice a fibre cable sheath greater than 144 fibres to be connected within a HDODF environment,45151,
Procab,Procab - MWA,FB-05-03-07,Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,Per cable sheath, $	410.55 ,Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,45151,
Procab,Procab - MWA,FB-05-03-08,Installation of an inline optical attenuator in conjunction with HDODF patching works,Per optical attenuator, $	24.32 ,Installation of an inline optical attenuator in conjunction with HDODF patching works,45151,
Procab,Procab - MWA,FB-05-03-09,Installation of an inline optical attenuator within the HDODF cabinet or equivalent rack environments as part of line balancing works for an FTTC DPU,Per optical attenuator, $	24.32 ,Installation of an inline optical attenuator within the HDODF cabinet or equivalent rack environments as part of line balancing works for an FTTC DPU,45151,
Procab,Procab - MWA,FB-06-01-01,Removal of existing fibre joint enclosure,Per fibre joint enclosure, $	69.00 ,Removal of existing fibre joint enclosure,45151,
Procab,Procab - MWA,CP-01-01-01,Installation of a new 900 type CCU,Per new 900 type CCU, $	793.50 ,Installation of a new 900 type CCU,45151,
Procab,Procab - MWA,CP-01-01-02,Installation of a new 1800 type CCU,Per new 1800 type CCU, $	793.50 ,Installation of a new 1800 type CCU,45151,
Procab,Procab - MWA,CP-01-01-03,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), including the termination of the bundle on each Connection Module",Per 10 cable pair bundle, $	34.50 ,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), including the termination of the bundle on each Connection Module",45151,
Procab,Procab - MWA,CP-01-01-04,Cutting over existing services from an existing Connection Module to a new Connection Module,Per 10 cable pairs, $	65.55 ,Cutting over existing services from an existing Connection Module to a new Connection Module,45151,
Procab,Procab - MWA,CP-01-02-01,Upgrading of an existing CCU from 900 type to 1800 type,Per CCU required to be upgraded from 900 type to 1800 type, $	144.90 ,Upgrading of an existing CCU from 900 type to 1800 type,45151,
Procab,Procab - MWA,CP-01-02-02,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1) ,Per Expansion CCU, $	515.43 ,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1) ,45151,
Procab,Procab - MWA,CP-01-02-03,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),Per Expansion CCU, $	952.20 ,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),45151,
Procab,Procab - MWA,CP-01-03-01,Removal and disposal of an existing CCU,Per existing CCU, $	179.40 ,Removal and disposal of an existing CCU,45151,
Procab,Procab - MWA,CP-01-04-01,Replacement of Pillar Lid Lock or Pillar Cap,Per existing CCU, $	24.15 ,Replacement of Pillar Lid Lock or Pillar Cap,45151,
Procab,Procab - MWA,CP-01-04-02,Installation of 2-piece Pillar Base Repair Kit,Per existing CCU, $	69.00 ,Installation of 2-piece Pillar Base Repair Kit,45151,
Procab,Procab - MWA,CP-01-04-03,Replace Cover Lightweight (1800 Type),Per existing CCU, $	24.15 ,Replace Cover Lightweight (1800 Type),45151,
Procab,Procab - MWA,CP-01-04-04,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,Per existing module, $	37.95 ,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,45151,
Procab,Procab - MWA,CP-02-01-01,Installation of a new Distribution extra large copper joint,Per new Distribution extra large copper joint, $	862.50 ,Installation of a new Distribution extra large copper joint,45151,
Procab,Procab - MWA,CP-02-01-02,Installation of a new Distribution large copper joint,Per new Distribution large copper joint, $	483.00 ,Installation of a new Distribution large copper joint,45151,
Procab,Procab - MWA,CP-02-01-03,Installation of a new Distribution small copper joint,Per new Distribution small copper joint, $	286.35 ,Installation of a new Distribution small copper joint,45151,
Procab,Procab - MWA,CP-02-01-04,Installation of a new Main Cable small copper joint,Per new Main Cable small copper joint, $	655.50 ,Installation of a new Main Cable small copper joint,45151,
Procab,Procab - MWA,CP-02-01-05,Installation of a new Main Cable medium copper joint,Per new Main Cable medium Copper joint," $	1,104.00 ",Installation of a new Main Cable medium copper joint,45151,
Procab,Procab - MWA,CP-02-01-06,Installation of a new Main Cable large copper joint enclosure,Per new Main Cable large Copper joint enclosure," $	1,997.55 ",Installation of a new Main Cable large copper joint enclosure,45151,
Procab,Procab - MWA,CP-02-01-07,Installation of a new Main Cable extra large copper joint enclosure,Per new Main Cable extra large Copper joint enclosure," $	3,601.80 ",Installation of a new Main Cable extra large copper joint enclosure,45151,
Procab,Procab - MWA,CP-02-01-08,Installation of a new aerial large copper joint,Per new Distribution large copper joint, $	589.95 ,Installation of a new aerial large copper joint,45151,
Procab,Procab - MWA,CP-02-01-09,Installation of a new aerial small copper joint,Per new Distribution small copper joint, $	389.85 ,Installation of a new aerial small copper joint,45151,
Procab,Procab - MWA,CP-02-02-01,Rehabilitate existing Distribution extra large or large openable copper joint,Per large openable copper joint, $	262.20 ,Rehabilitate existing Distribution extra large or large openable copper joint,45151,
Procab,Procab - MWA,CP-02-02-02,Rehabilitate existing Distribution medium or small openable copper joint,Per small openable copper joint, $	144.90 ,Rehabilitate existing Distribution medium or small openable copper joint,45151,
Procab,Procab - MWA,CP-02-02-03,Replacement of existing Distribution in-line copper joint with a new in-line large copper joint,Per existing copper joint replaced , $	441.60 ,Replacement of existing Distribution in-line copper joint with a new in-line large copper joint,45151,
Procab,Procab - MWA,CP-02-02-04,Replacement of existing Distribution in-line copper joint with a new in-line small copper joint,Per existing copper joint replaced , $	248.40 ,Replacement of existing Distribution in-line copper joint with a new in-line small copper joint,45151,
Procab,Procab - MWA,CP-02-02-05,Cutting over existing services from an existing copper joint to a new large copper joint,Per existing copper joint replaced , $	517.50 ,Cutting over existing services from an existing copper joint to a new large copper joint,45151,
Procab,Procab - MWA,CP-02-02-06,Cutting over existing services from an existing copper joint to a new small copper joint,Per existing copper joint replaced , $	282.90 ,Cutting over existing services from an existing copper joint to a new small copper joint,45151,
Procab,Procab - MWA,CP-02-02-07,Rehabilitate existing aerial extra large or large copper joint,Per existing copper joint replaced , $	565.80 ,Rehabilitate existing aerial extra large or large copper joint,45151,
Procab,Procab - MWA,CP-02-02-08,Rehabilitate existing aerial medium or small copper joint,Per existing copper joint replaced , $	334.65 ,Rehabilitate existing aerial medium or small copper joint,45151,
Procab,Procab - MWA,CP-02-02-09,Rehabilitate existing elevated copper joint,Per existing copper joint replaced , $	144.90 ,Rehabilitate existing elevated copper joint,45151,
Procab,Procab - MWA,CP-02-02-10,Rehabilitate existing small Distribution in-line copper joint ,Per small in-line copper joint, $	216.66 ,Rehabilitate existing small Distribution in-line copper joint ,45151,
Procab,Procab - MWA,CP-02-02-15,Rehabilitate existing extra large or large Distribution in-line copper joint ,Per existing copper joint, $	381.57 ,Rehabilitate existing extra large or large Distribution in-line copper joint ,45151,
Procab,Procab - MWA,CP-02-02-16,Rehabilitate existing medium or small Distribution in-line copper joint ,Per existing copper joint, $	216.66 ,Rehabilitate existing medium or small Distribution in-line copper joint ,45151,
Procab,Procab - MWA,CP-02-02-20,Joint a working cable pair into an existing joint up to and including a 10 pair cable,Per existing copper joint, $	86.25 ,Joint a working cable pair into an existing joint up to and including a 10 pair cable,45151,
Procab,Procab - MWA,CP-02-02-21,Joint a working cable pair into an existing joint above a 10 pair cable and up to and including a 50 pair cable,Per existing copper joint, $	148.35 ,Joint a working cable pair into an existing joint above a 10 pair cable and up to and including a 50 pair cable,45151,
Procab,Procab - MWA,CP-02-02-22,Joint a working cable pair into an existing joint above a 50 pair cable and up to and including a 100 pair cable,Per existing copper joint, $	193.20 ,Joint a working cable pair into an existing joint above a 50 pair cable and up to and including a 100 pair cable,45151,
Procab,Procab - MWA,CP-02-02-23,Joint a working cable pair into an existing joint above 100 pair cable,Per existing copper joint, $	265.65 ,Joint a working cable pair into an existing joint above 100 pair cable,45151,
Procab,Procab - MWA,CP-02-02-24,Insert a 2 pair cable into an existing joint and joint to existing cable,Per 2 pair cable, $	41.40 ,Insert a 2 pair cable into an existing joint and joint to existing cable,45151,
Procab,Procab - MWA,CP-02-02-25,Insert a cable including a 10 pair and up to an including a 100 pair into an existing joint and joint to existing cable,Per Cable inserted, $	86.25 ,Insert a cable including a 10 pair and up to an including a 100 pair into an existing joint and joint to existing cable,45151,
Procab,Procab - MWA,CP-02-02-26,Locate and rectify a fault in a copper pair,Per Copper Cable, $	131.10 ,Locate and rectify a fault in a copper pair,45151,
Procab,Procab - MWA,CP-02-03-01,Removal of existing copper joint,Per existing copper joint, $	44.85 ,Removal of existing copper joint,45151,
Procab,Procab - MWA,CP-02-03-02,Removal of existing aerial copper joint,Per existing copper joint, $	103.50 ,Removal of existing aerial copper joint,45151,
Procab,Procab - MWA,CP-02-03-03,Remove a existing elevated joint,Per existing copper joint, $	75.90 ,Remove a existing elevated joint,45151,
Procab,Procab - MWA,CP-02-04-01,Joint sealing maintenance task (add Dexbond 10B Sealant),Per existing copper joint, $	35.26 ,Joint sealing maintenance task (add Dexbond 10B Sealant),45151,
Procab,Procab - MWA,CP-02-04-02,"Replace joint lid, clamp, or Support Bar   (HSOJ or Dexgreen Joint)",Per existing copper joint, $	17.73 ,"Replace joint lid, clamp, or Support Bar   (HSOJ or Dexgreen Joint)",45151,
Procab,Procab - MWA,CP-02-04-03,Replace or install 2-5pr Snap Enclosure,Per existing copper joint, $	20.70 ,Replace or install 2-5pr Snap Enclosure,45151,
Procab,Procab - MWA,CP-02-04-04,Replace or install 10pr Snap Enclosure,Per existing copper joint, $	34.50 ,Replace or install 10pr Snap Enclosure,45151,
Procab,Procab - MWA,CP-02-04-05,Replace connectors in an openable joint,Per existing copper joint, $	65.55 ,Replace connectors in an openable joint,45151,
Procab,Procab - MWA,CP-02-04-06,Replace Bandit Strap,Per existing copper joint, $	25.53 ,Replace Bandit Strap,45151,
Procab,Procab - MWA,CP-03-01-01,Removal of a pair gain system ,Per pair gain system, $	224.25 ,Removal of a pair gain system ,45151,
Procab,Procab - MWA,CP-03-01-02,Migration of an existing service from a pair gain system to a dedicated copper circuit,Per existing service, $	95.70 ,Migration of an existing service from a pair gain system to a dedicated copper circuit,45151,
Procab,Procab - MWA,CP-03-01-03,Single service active migration in a CSD including service jumpering in the pillar,Per service, $	58.65 ,Single service active migration in a CSD including service jumpering in the pillar,45151,
Procab,Procab - MWA,CP-03-01-04,Removal of existing line conditioning equipment,Per existing line conditioning equipment, $	110.40 ,Removal of existing line conditioning equipment,45151,
Procab,Procab - MWA,CP-03-01-05,Removal of an existing bridge tap ,Per existing bridge tap, $	48.30 ,Removal of an existing bridge tap ,45151,
Procab,Procab - MWA,CP-03-01-06,Install earth bonding cable between cable sections,Per linear metre, $	6.21 ,Install earth bonding cable between cable sections,45151,
Procab,Procab - MWA,CP-03-01-10,Multiple services pre-validation for migration at any location ,Per existing service, $	20.01 ,Multiple services pre-validation for migration at any location ,45151,
Procab,Procab - MWA,CP-05-01-01,Installation of service jumpering in an Exchange,Per Service, $	34.50 ,Installation of service jumpering in an Exchange,45151,
Procab,Procab - MWA,CP-05-01-02,Existing service transfer jumpering in an MDF and termination end point,Per existing service, $	31.74 ,Existing service transfer jumpering in an MDF and termination end point,45151,
Procab,Procab - MWA,CP-05-02-01,Installation of service jumpering in a cross connect unit for the first service jumpered,Per Service, $	13.80 ,Installation of service jumpering in a cross connect unit for the first service jumpered,45151,
Procab,Procab - MWA,CP-05-02-02,Extra over service Jumpering in a cross connect unit,Per Service , $	8.28 ,Extra over service Jumpering in a cross connect unit,45151,
Procab,Procab - MWA,EA-01-01-01,Copper performance line testing,Per cable pair, $	37.95 ,Copper performance line testing,45151,
Procab,Procab - MWA,EA-01-01-02,Line Testing Vacant Pairs,Per cable pair, $	13.80 ,Line Testing Vacant Pairs,45151,
Procab,Procab - MWA,HF-01-01-01,Installation of aerial bridger amplifier in new network,Per bridger amplifier, $	241.50 ,Installation of aerial bridger amplifier in new network,45151,
Procab,Procab - MWA,HF-01-01-02,Installation of aerial bridger amplifier in existing network,Per bridger amplifier, $	241.50 ,Installation of aerial bridger amplifier in existing network,45151,
Procab,Procab - MWA,HF-01-01-03,Installation of aerial line-extender amplifier in new network ,Per line-extender amplifier, $	189.75 ,Installation of aerial line-extender amplifier in new network ,45151,
Procab,Procab - MWA,HF-01-01-04,Installation of aerial line-extender amplifier to existing network ,Per line-extender amplifier, $	203.55 ,Installation of aerial line-extender amplifier to existing network ,45151,
Procab,Procab - MWA,HF-01-01-05,"Installation of aerial directional coupler, network splitter, line equaliser or line power inserter in new network",Per coupler or network splitter or line power inserter, $	134.55 ,"Installation of aerial directional coupler, network splitter, line equaliser or line power inserter in new network",45151,
Procab,Procab - MWA,HF-01-01-06,"Installation of aerial mounted directional coupler, network splitter, line equaliser or line power inserter in existing network",Per coupler or network splitter or line power inserter, $	134.55 ,"Installation of aerial mounted directional coupler, network splitter, line equaliser or line power inserter in existing network",45151,
Procab,Procab - MWA,HF-01-01-07,Installation of aerial line power supply in new network,Per line power supply, $	448.50 ,Installation of aerial line power supply in new network,45151,
Procab,Procab - MWA,HF-01-01-08,Installation of aerial line power supply in existing network,Per line power supply, $	469.20 ,Installation of aerial line power supply in existing network,45151,
Procab,Procab - MWA,HF-01-01-09,Installation of pedestal mounted line power supply in new network,Per line power supply, $	365.70 ,Installation of pedestal mounted line power supply in new network,45151,
Procab,Procab - MWA,HF-01-01-10,Installation of pedestal mounted line power supply in existing network,Per line power supply, $	438.15 ,Installation of pedestal mounted line power supply in existing network,45151,
Procab,Procab - MWA,HF-01-01-11,Installation of aerial tap in new network,Per tap , $	110.40 ,Installation of aerial tap in new network,45151,
Procab,Procab - MWA,HF-01-01-12,Installation of aerial tap in existing network,Per tap , $	124.20 ,Installation of aerial tap in existing network,45151,
Procab,Procab - MWA,HF-01-01-13,Installation of aerial mounted power blocker in existing network,per device , $	103.50 ,Installation of aerial mounted power blocker in existing network,45151,
Procab,Procab - MWA,HF-01-01-14,Installation of aerial RF splice in existing network,Per Splice, $	103.50 ,Installation of aerial RF splice in existing network,45151,
Procab,Procab - MWA,HF-01-01-15,Installation of an earth to an existing aerial active device where no earth has been provided or is unserviceable,Per device , $	158.70 ,Installation of an earth to an existing aerial active device where no earth has been provided or is unserviceable,45151,
Procab,Procab - MWA,HF-01-01-16,Installation of tie-cabling from PCD to wall plate,Per wall plate, $	89.70 ,Installation of tie-cabling from PCD to wall plate,45151,
Procab,Procab - MWA,HF-01-02-04,Replacement of aerial tap face plate in the existing network,Per face plate, $	79.35 ,Replacement of aerial tap face plate in the existing network,45151,
Procab,Procab - MWA,HF-01-02-05,Replacement of existing PCD with a lock box ,Per PCD, $	58.65 ,Replacement of existing PCD with a lock box ,45151,
Procab,Procab - MWA,HF-01-03-01,Removal of aerial bridger amplifier or aerial line extender amplifier in existing network,Per device , $	138.00 ,Removal of aerial bridger amplifier or aerial line extender amplifier in existing network,45151,
Procab,Procab - MWA,HF-01-03-02,Removal of aerial coupler or aerial network splitter in existing network,Per device , $	103.50 ,Removal of aerial coupler or aerial network splitter in existing network,45151,
Procab,Procab - MWA,HF-01-03-03,Removal of aerial tap in existing network,Per tap, $	72.45 ,Removal of aerial tap in existing network,45151,
Procab,Procab - MWA,HF-01-03-04,Removal of aerial terminator in existing network,Per terminator, $	72.45 ,Removal of aerial terminator in existing network,45151,
Procab,Procab - MWA,HF-01-03-05,Removal of aerial power blocker in existing network,per device , $	89.70 ,Removal of aerial power blocker in existing network,45151,
Procab,Procab - MWA,HF-01-03-06,"Removal of existing aerial line power supply, line power inserter and pedestal housing in existing network",Per pedestal housing, $	483.00 ,"Removal of existing aerial line power supply, line power inserter and pedestal housing in existing network",45151,
Procab,Procab - MWA,HF-02-01-01,Installation of non-aerial bridger amplifier in new network,Per bridge amplifier, $	120.75 ,Installation of non-aerial bridger amplifier in new network,45151,
Procab,Procab - MWA,HF-02-01-02,Installation of non-aerial bridger amplifier in existing network,Per bridge amplifier, $	144.90 ,Installation of non-aerial bridger amplifier in existing network,45151,
Procab,Procab - MWA,HF-02-01-03,Installation of non-aerial line-extender amplifier in new network ,Per line-extender amplifier, $	82.80 ,Installation of non-aerial line-extender amplifier in new network ,45151,
Procab,Procab - MWA,HF-02-01-04,Installation of non-aerial line-extender amplifier to existing network ,Per line-extender amplifier, $	96.60 ,Installation of non-aerial line-extender amplifier to existing network ,45151,
Procab,Procab - MWA,HF-02-01-05,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in new network",Per coupler or network splitter or line power inserter, $	62.10 ,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in new network",45151,
Procab,Procab - MWA,HF-02-01-06,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in existing network",Per coupler or network splitter or line power inserter, $	62.10 ,"Installation of non-aerial directional coupler, network splitter, line equaliser or line power inserter in existing network",45151,
Procab,Procab - MWA,HF-02-01-07,Installation of non-aerial mounted tap in new network,Per tap , $	51.75 ,Installation of non-aerial mounted tap in new network,45151,
Procab,Procab - MWA,HF-02-01-08,Installation of non-aerial tap in existing network,Per tap , $	65.55 ,Installation of non-aerial tap in existing network,45151,
Procab,Procab - MWA,HF-02-01-09,Supply and install optical patch cable within HDODF,Per patch cable, $	41.40 ,Supply and install optical patch cable within HDODF,45151,
Procab,Procab - MWA,HF-02-01-10,Supply and Installation of pedestal,Per pedestal , $	883.20 ,Supply and Installation of pedestal,45151,
Procab,Procab - MWA,HF-02-01-11,Installation of non-aerial power blocker in existing network,per device , $	48.30 ,Installation of non-aerial power blocker in existing network,45151,
Procab,Procab - MWA,HF-02-01-12,Installation of non-aerial RF splice in existing network,Per Splice, $	48.30 ,Installation of non-aerial RF splice in existing network,45151,
Procab,Procab - MWA,HF-02-01-13,Installation of power blocker in conjunction with the installation of a new device in either aerial or non-aerial environment in new network,per device , $	31.74 ,Installation of power blocker in conjunction with the installation of a new device in either aerial or non-aerial environment in new network,45151,
Procab,Procab - MWA,HF-02-01-14,Installation of an earth to an existing non aerial active device where no earth has been provided ,Per device , $	107.64 ,Installation of an earth to an existing non aerial active device where no earth has been provided ,45151,
Procab,Procab - MWA,HF-02-02-03,Replacement of non-aerial tap face plate in the existing network,Per face plate, $	48.30 ,Replacement of non-aerial tap face plate in the existing network,45151,
Procab,Procab - MWA,HF-02-02-04,Installation of an earth to an existing non aerial active device where the existing earth is unserviceable,Per earth, $	107.64 ,Installation of an earth to an existing non aerial active device where the existing earth is unserviceable,45151,
Procab,Procab - MWA,HF-02-03-01,Removal of non-aerial bridger amplifier or non-aerial line extender amplifier in existing network,Per non-aerial bridger amplifier or non-aerial line extender amplifier device , $	48.30 ,Removal of non-aerial bridger amplifier or non-aerial line extender amplifier in existing network,45151,
Procab,Procab - MWA,HF-02-03-02,Removal of non-aerial coupler or non-aerial network splitter in existing network,Per device , $	41.40 ,Removal of non-aerial coupler or non-aerial network splitter in existing network,45151,
Procab,Procab - MWA,HF-02-03-03,Removal of non-aerial tap in existing network,Per tap, $	34.50 ,Removal of non-aerial tap in existing network,45151,
Procab,Procab - MWA,HF-02-03-04,Removal of non-aerial terminator in existing network,Per terminator, $	34.50 ,Removal of non-aerial terminator in existing network,45151,
Procab,Procab - MWA,HF-02-03-05,Removal of non aerial power blocker in existing network,per device , $	48.30 ,Removal of non aerial power blocker in existing network,45151,
Procab,Procab - MWA,HF-02-03-06,"Removal of existing  line power supply, line power inserter and pedestal housing in existing network",Per pedestal housing, $	621.00 ,"Removal of existing  line power supply, line power inserter and pedestal housing in existing network",45151,
Procab,Procab - MWA,HF-03-01-01,Proof of performance testing,per device , $	79.35 ,Proof of performance testing,45151,
Procab,Procab - MWA,HF-03-01-02,Return path noise testing of an optical node in the existing network,Per optical node, $	103.50 ,Return path noise testing of an optical node in the existing network,45151,
Procab,Procab - MWA,HF-03-02-01,Alignment of aerial HFC active equipment,Per HFC active equipment, $	165.60 ,Alignment of aerial HFC active equipment,45151,
Procab,Procab - MWA,HF-03-02-02,Alignment of non-aerial HFC active equipment,Per HFC active equipment, $	72.45 ,Alignment of non-aerial HFC active equipment,45151,
Procab,Procab - MWA,HF-03-02-04,Reconfigure output of aerial directional coupler or aerial network splitter in an existing network,per device , $	117.30 ,Reconfigure output of aerial directional coupler or aerial network splitter in an existing network,45151,
Procab,Procab - MWA,HF-03-02-05,Reconfigure output non-aerial directional coupler or network splitter in existing network,per device , $	65.55 ,Reconfigure output non-aerial directional coupler or network splitter in existing network,45151,
Procab,Procab - MWA,HF-04-01-01,Earthing of catenary wire,Per earth, $	158.70 ,Earthing of catenary wire,45151,
Procab,Procab - MWA,FC-01-01-03,Installation and commissioning of a wall mounted DPU terminal device ,Per DPU, $	75.90 ,Installation and commissioning of a wall mounted DPU terminal device ,45151,
Procab,Procab - MWA,FC-01-01-10,Installation and commissioning of an aerial DPU terminal device ,Per DPU, $	103.50 ,Installation and commissioning of an aerial DPU terminal device ,45151,
Procab,Procab - MWA,FC-01-01-11,Installation and commissioning of a non-aerial DPU terminal device ,Per DPU, $	75.90 ,Installation and commissioning of a non-aerial DPU terminal device ,45151,
Procab,Procab - MWA,FC-01-01-12,Removal of existing DPU,Per DPU, $	51.75 ,Removal of existing DPU,45151,
Procab,Procab - MWA,FC-02-01-05,Supply and installation of a DPU copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,Per DPU copper lead extension, $	96.60 ,Supply and installation of a DPU copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,45151,
Procab,Procab - MWA,FC-02-01-06,Supply and installation of DPU copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure ,Per DPU copper lead extension, $	86.25 ,Supply and installation of DPU copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure ,45151,
Procab,Procab - MWA,FC-02-01-07,Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,Per DPU copper lead extension, $	84.53 ,Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,45151,
Procab,Procab - MWA,FC-02-01-12,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,Per DPU copper lead high twist extension, $	103.50 ,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure or to an existing aerial mounted terminal box joint enclosure,45151,
Procab,Procab - MWA,FC-02-01-13,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure,Per DPU copper lead high twist extension, $	82.80 ,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial mounted openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-02-01,Jointing of an aerial copper drop sheath to aerial DPU copper lead in a new or existing openable joint enclosure,Per aerial DPU copper lead jointed , $	86.25 ,Jointing of an aerial copper drop sheath to aerial DPU copper lead in a new or existing openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-02-02,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure ,Per DPU copper lead high twist extension, $	117.30 ,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing aerial mounted openable joint enclosure ,45151,
Procab,Procab - MWA,FC-02-02-03,Removal of an existing terminal box joint enclosure or existing openable joint and installation of a new replacement openable joint enclosure,Per replaced enclosure, $	144.90 ,Removal of an existing terminal box joint enclosure or existing openable joint and installation of a new replacement openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-02-04,Installation of a copper tie cable for interconnection between two new or existing openable joint enclosures or terminal box joint enclosures ,Per copper tie cable, $	172.50 ,Installation of a copper tie cable for interconnection between two new or existing openable joint enclosures or terminal box joint enclosures ,45151,
Procab,Procab - MWA,FC-02-03-01,Installation of a new non-aerial openable joint enclosure,Per new non-aerial openable joint enclosure, $	124.20 ,Installation of a new non-aerial openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-03-02,Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,Per DPU copper lead jointed , $	24.84 ,Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,45151,
Procab,Procab - MWA,FC-02-03-03,Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,Per DPU copper lead jointed , $	30.36 ,Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-03-04,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,Per DPU copper lead high twist extension, $	91.08 ,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,45151,
Procab,Procab - MWA,FC-02-03-05,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial openable joint enclosure,Per DPU copper lead high twist extension, $	82.80 ,Installation of a DPU 2 pair high twist copper lead extension from DPU copper lead to a new or existing non-aerial openable joint enclosure,45151,
Procab,Procab - MWA,FC-02-03-06,Extra over for the Installation of a 2 pair copper cut-in loop to existing lead sheath copper lead-in,Per 2pair loop, $	53.13 ,Extra over for the Installation of a 2 pair copper cut-in loop to existing lead sheath copper lead-in,45151,
Procab,Procab - MWA,FC-03-01-01,Existing copper drop sheath validation,Per existing copper drop sheath validated, $	27.60 ,Existing copper drop sheath validation,45151,
Procab,Procab - MWA,FC-03-01-02,Existing Copper drop sheath validation for Serviceability for Missed Lead-ins,Per existing copper drop sheath validated, $	46.92 ,Existing Copper drop sheath validation for Serviceability for Missed Lead-ins,45151,
Procab,Procab - MWA,MD-01-01-01,Supply & Installation of catenary wire system in buildings,Per linear metre, $	11.04 ,Supply & Installation of catenary wire system in buildings,45151,
Procab,Procab - MWA,MD-01-01-01-AH,Supply & Installation of catenary wire system in buildings outside working hours,Per linear metre, $	19.32 ,Supply & Installation of catenary wire system in buildings outside working hours,45151,
