Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate
Downer,Downer - Fusion,CF-02-02-01,"Mobilisation Fee for Planning and Design Works for a Work
Order located in Zone 2",Quote,Quote
Downer,Downer - Fusion,CF-02-02-02,Mobilisation Fee for Planning and Design Works for a Work Order located in Zone 3,Quote,Quote
Downer,Downer - Fusion,CF-02-02-03,"Mobilisation Fee for Planning and Design Works for a Work
Order located in Zone 4",Quote,Quote
Downer,Downer - Fusion,CF-02-02-04,Mobilisation Fee for Construction Works for a Work Order located in Zone 2,Quote,Quote
Downer,Downer - Fusion,CF-02-02-05,Mobilisation Fee for Construction Works for a Work Order located in Zone 3,Quote,Quote
Downer,Downer - Fusion,CF-02-02-06,"Mobilisation Fee for Construction Works for a Work Order
located in Zone 4",Quote,Quote
Downer,Downer - Fusion,CF-03-02-01,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 2,per night/ per person, $	180.00 
Downer,Downer - Fusion,CF-03-02-02,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 3,per night/ per person, $	180.00 
Downer,Downer - Fusion,CF-03-02-03,"LAFHA for Planning and Design or Construction Works for a
Work Order located in Zone 4","per night/ per
person", $	180.00 
Downer,Downer - Fusion,PS-01-01-02,Pole make ready works,Cost of pole make ready works,Quote
Downer,Downer - Fusion,PS-01-01-03,Supply and install standard GPO as per design,Cost of GPO installation,Quote
Downer,Downer - Fusion,PS-01-01-04,Certification and professional services fees associated with activities not otherwise specified in Activity Scope,Amount of the fee,Quote
Downer,Downer - Fusion,PS-01-01-05,Registered Surveyor Works,Amount of the fee,Quote
Downer,Downer - Fusion,PS-01-01-07,"Traffic Control - All costs associated with the hire of
professional traffic control units",Amount of the fee,Quote
Downer,Downer - Fusion,PS-01-01-11,Aerial pole replacement,Amount of the fee,Quote
Downer,Downer - Fusion,PS-01-01-12,Third party aerial design management fees,Amount of the fee,Quote
Downer,Downer - Fusion,TB-01-01-05,Labourer,Per hour, $	35.67 
Downer,Downer - Fusion,TB-01-01-06,Labourer - outside working hours,Per hour, $	61.35 
Downer,Downer - Fusion,TB-02-02-03,EWP truck mounted up to 12m,Quote,Quote
Downer,Downer - Fusion,TB-02-02-13,Scissor Lift,Quote,Quote
